PLAYER,TEAM,AGE,GP,MIN,W,L,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,SALARY
Jeff Green,CLE,31,78,23.4,47,31,10.8,3.8,7.9,0.7,2.2,2.6,3.0,0.8,2.4,1.3,1.0,0.5,0.4,2116955.0
Jeff Teague,MIN,30,70,33.0,41,29,14.2,5.1,11.3,1.2,3.3,2.9,3.4,0.3,2.6,7.0,2.5,1.5,0.3,19000000.0
Jeff Withey,DAL,28,10,3.9,2,8,1.5,0.6,1.6,0.2,1.0,0.1,0.2,0.1,0.9,0.0,0.2,0.0,0.3,1577320.0
Jerami Grant,OKC,24,81,20.3,48,33,8.4,3.0,5.6,0.4,1.4,2.0,3.0,1.1,2.9,0.7,0.7,0.4,1.0,1524305.0
Jeremy Evans,ATL,30,1,5.4,0,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,50000.0
Jerian Grant,CHI,25,74,22.8,24,50,8.4,2.8,6.8,0.8,2.5,1.9,2.5,0.4,1.9,4.6,1.2,0.9,0.1,1713840.0
Jerryd Bayless,PHI,29,39,23.7,21,18,7.9,2.8,6.7,1.4,3.7,0.9,1.1,0.4,1.7,1.4,1.2,0.6,0.2,9000000.0
Jimmy Butler,MIN,28,59,36.7,37,22,22.2,7.4,15.6,1.2,3.4,6.2,7.2,1.3,4.0,4.9,1.8,2.0,0.4,19301070.0
Joakim Noah,NYK,33,7,5.7,1,6,1.7,0.7,1.4,0.0,0.0,0.3,0.6,0.9,1.1,0.6,0.6,0.3,0.3,17765000.0
Jodie Meeks,WAS,30,77,14.5,41,36,6.3,2.0,5.1,0.9,2.7,1.3,1.5,0.2,1.4,0.9,0.5,0.4,0.1,3290000.0
Joe Ingles,UTA,30,82,31.4,48,34,11.5,4.1,8.8,2.5,5.7,0.8,1.0,0.3,3.9,4.8,1.9,1.1,0.2,14136364.0
Joe Young,IND,26,53,10.5,28,25,3.9,1.5,3.5,0.5,1.2,0.4,0.5,0.2,1.0,0.7,0.5,0.3,0.0,1471382.0
Joel Bolomboy,MIL,24,6,6.3,3,3,1.5,0.5,1.0,0.0,0.2,0.5,1.0,1.0,0.7,0.0,0.3,0.3,0.0,22248.0
Joel Embiid,PHI,24,63,30.4,41,22,22.9,8.1,16.8,1.0,3.4,5.7,7.4,2.3,8.7,3.2,3.7,0.6,1.8,6100266.0
Joffrey Lauvergne,SAS,26,55,9.7,30,25,4.1,1.8,3.5,0.0,0.1,0.5,0.9,1.1,2.0,0.7,0.6,0.2,0.1,1524305.0
John Collins,ATL,20,74,24.1,21,53,10.5,4.2,7.4,0.2,0.6,1.8,2.5,2.4,4.9,1.3,1.4,0.6,1.1,1936920.0
John Henson,MIL,27,76,25.9,39,37,8.8,3.8,6.6,0.0,0.1,1.2,2.1,2.0,4.8,1.5,1.1,0.6,1.4,11422536.0
John Wall,WAS,27,41,34.4,23,18,19.4,6.8,16.3,1.5,4.1,4.3,5.9,0.5,3.1,9.6,3.9,1.4,1.1,18063850.0
Jon Leuer,DET,29,8,17.1,5,3,5.4,1.9,4.5,0.0,0.4,1.6,1.9,0.9,3.1,0.6,0.9,0.1,0.4,10497319.0
Jonas Jerebko,UTA,31,74,15.3,45,29,5.8,2.1,4.6,0.9,2.1,0.6,0.8,0.7,2.6,0.6,0.4,0.3,0.2,4000000.0
Jonas Valanciunas,TOR,26,77,22.4,56,21,12.7,5.1,8.9,0.4,1.0,2.2,2.7,2.4,6.2,1.1,1.5,0.4,0.9,15460675.0
Jonathan Isaac,ORL,20,27,19.8,11,16,5.4,2.0,5.4,0.6,1.7,0.7,0.9,0.6,3.1,0.7,1.0,1.2,1.1,4186320.0
Jonathon Simmons,ORL,28,69,29.4,21,48,13.9,5.1,11.0,1.0,3.0,2.7,3.5,0.9,2.6,2.5,2.1,0.8,0.2,6300000.0
Jordan Bell,GSW,23,57,14.2,43,14,4.6,2.0,3.2,0.0,0.1,0.5,0.8,1.1,2.6,1.8,0.9,0.6,1.0,815615.0
Jordan Clarkson,CLE,26,81,23.3,40,41,13.9,5.3,11.8,1.4,3.9,1.9,2.3,0.7,2.0,2.7,1.6,0.7,0.1,11562500.0
Jordan Crawford,NOP,29,5,10.7,3,2,6.6,2.4,5.4,1.6,2.8,0.2,0.2,0.4,0.4,2.6,1.0,0.2,0.2,250000.0
Jordan Mickey,MIA,23,23,12.4,15,8,4.0,1.7,3.6,0.1,0.7,0.6,0.8,0.8,2.7,0.4,0.8,0.3,0.4,1471382.0
Jose Calderon,CLE,36,57,16.0,33,24,4.5,1.6,3.2,0.8,1.7,0.4,0.5,0.2,1.2,2.1,0.7,0.5,0.0,2328652.0
Josh Hart,LAL,23,63,23.2,27,36,7.9,2.8,6.0,1.2,3.1,1.0,1.5,0.7,3.5,1.3,0.7,0.7,0.3,1394520.0
Josh Huestis,OKC,26,69,14.2,43,26,2.3,0.9,2.6,0.5,1.7,0.1,0.3,0.6,1.7,0.3,0.4,0.2,0.6,1471382.0
Josh McRoberts,DAL,31,2,2.9,2,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6021175.0
Josh Richardson,MIA,24,81,33.2,44,37,12.9,4.9,10.9,1.6,4.1,1.5,1.8,0.9,2.7,2.9,1.7,1.5,0.9,1471382.0
Josh Smith,NOP,32,3,3.9,2,1,0.7,0.3,1.3,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,2183934.0
Jrue Holiday,NOP,28,81,36.1,47,34,19.0,7.6,15.4,1.5,4.4,2.3,2.9,0.8,3.7,6.0,2.6,1.5,0.8,25686667.0
Julius Randle,LAL,23,82,26.7,35,47,16.1,6.1,11.0,0.1,0.5,3.7,5.2,2.2,5.8,2.6,2.6,0.5,0.5,4149242.0
Justin Anderson,PHI,24,38,13.7,27,11,6.2,2.3,5.3,0.9,2.7,0.7,1.0,0.7,1.8,0.7,0.4,0.4,0.2,1579440.0
Justin Holiday,CHI,29,72,31.5,24,48,12.2,4.0,10.9,2.2,6.2,1.9,2.3,0.4,3.6,2.1,1.3,1.1,0.4,4615385.0
Justin Jackson,SAC,23,68,22.2,21,47,6.7,2.7,6.2,0.8,2.7,0.4,0.5,0.4,2.4,1.1,0.6,0.4,0.2,2365560.0
Justin Patton,MIN,21,1,3.7,0,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2247480.0
Justise Winslow,MIA,22,68,24.7,33,35,7.8,3.0,7.2,0.7,1.9,1.0,1.5,0.9,4.5,2.2,1.1,0.8,0.5,2705040.0
Jusuf Nurkic,POR,23,79,26.4,48,31,14.3,6.1,12.0,0.0,0.1,2.2,3.5,2.4,6.6,1.8,2.3,0.8,1.4,2947305.0
Karl-Anthony Towns,MIN,22,82,35.6,47,35,21.3,7.8,14.3,1.5,3.5,4.2,4.9,2.9,9.4,2.4,1.9,0.8,1.4,6216840.0
Kawhi Leonard,SAS,27,9,23.3,5,4,16.2,5.8,12.3,1.2,3.9,3.4,4.2,0.7,4.0,2.3,1.8,2.0,1.0,18868625.0
Kelly Olynyk,MIA,27,76,23.4,42,34,11.5,4.2,8.4,1.4,3.7,1.8,2.3,1.2,4.5,2.7,1.9,0.8,0.5,10607169.0
Kenneth Faried,DEN,28,32,14.4,16,16,5.9,2.4,4.6,0.0,0.0,1.1,1.6,2.1,2.7,0.6,0.7,0.4,0.4,12921348.0
Kent Bazemore,ATL,28,65,27.5,19,46,12.9,4.4,10.4,1.7,4.2,2.5,3.1,0.4,3.4,3.5,2.4,1.5,0.7,16910113.0
Kentavious Caldwell-Pope,LAL,25,74,33.2,31,43,13.4,4.6,10.8,2.1,5.6,2.1,2.6,0.8,4.4,2.2,1.3,1.4,0.2,17745894.0
Kevin Durant,GSW,29,68,34.2,49,19,26.4,9.3,18.0,2.5,6.1,5.3,5.9,0.5,6.4,5.4,3.0,0.7,1.8,25000000.0
