PLAYER,TEAM,AGE,GP,MIN,W,L,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,SALARY
Pat Connaughton,POR,25,82,18.1,49,33,5.4,2.0,4.8,0.9,2.6,0.5,0.5,0.4,1.5,1.1,0.5,0.3,0.3,1471382.0
Patrick Beverley,LAC,29,11,30.3,5,6,12.2,4.4,10.8,2.2,5.5,1.3,1.5,1.5,2.6,2.9,2.3,1.7,0.5,5513514.0
Patrick McCaw,GSW,22,57,16.9,41,16,4.0,1.6,3.9,0.3,1.4,0.5,0.6,0.3,1.2,1.4,0.7,0.8,0.2,1312611.0
Patrick Patterson,OKC,29,82,15.5,48,34,3.9,1.3,3.2,0.8,2.1,0.5,0.6,0.4,2.0,0.7,0.4,0.6,0.3,5192000.0
Patty Mills,SAS,29,82,25.7,47,35,10.0,3.4,8.3,1.9,5.0,1.3,1.4,0.3,1.6,2.8,1.3,0.7,0.1,10714286.0
Pau Gasol,SAS,37,77,23.5,45,32,10.1,3.7,8.1,0.6,1.6,2.1,2.7,1.7,6.4,3.1,1.4,0.3,1.0,16000000.0
Paul George,OKC,28,79,36.6,47,32,21.9,7.3,17.0,3.1,7.7,4.3,5.2,0.9,4.7,3.3,2.7,2.0,0.5,19508958.0
Paul Millsap,DEN,33,38,30.1,22,16,14.6,5.3,11.4,1.0,3.0,2.9,4.2,1.7,4.7,2.8,1.9,1.0,1.2,31269231.0
Paul Zipser,CHI,24,54,15.3,17,37,4.0,1.5,4.3,0.7,2.0,0.4,0.5,0.2,2.2,0.9,0.8,0.4,0.3,1312611.0
Quincy Pondexter,CHI,30,23,8.5,6,17,2.0,0.6,2.1,0.1,1.0,0.6,0.7,0.3,0.8,0.4,0.5,0.3,0.1,3853931.0
Rajon Rondo,NOP,32,65,26.2,41,24,8.3,3.6,7.6,0.8,2.3,0.4,0.7,0.5,3.6,8.2,2.3,1.1,0.2,3300000.0
Ramon Sessions,WAS,32,28,14.0,10,18,4.9,1.5,4.2,0.3,0.9,1.6,2.0,0.2,1.1,2.8,1.1,0.5,0.1,263124.0
Rashad Vaughn,ORL,21,28,7.6,13,15,2.3,0.8,2.0,0.5,1.3,0.1,0.2,0.1,0.6,0.5,0.2,0.2,0.1,166258.0
Raul Neto,UTA,26,41,12.2,28,13,4.5,1.7,3.7,0.5,1.1,0.6,0.9,0.2,1.0,1.8,0.9,0.3,0.1,1471382.0
Raymond Felton,OKC,34,82,16.6,48,34,6.9,2.7,6.7,1.0,2.8,0.4,0.5,0.3,1.6,2.5,0.9,0.6,0.2,2328652.0
Reggie Bullock,DET,27,62,27.9,32,30,11.3,4.3,8.8,2.0,4.5,0.6,0.8,0.4,2.0,1.5,0.8,0.8,0.2,2500000.0
Reggie Jackson,DET,28,45,26.7,27,18,14.6,5.5,12.8,1.2,3.8,2.5,3.0,0.6,2.1,5.3,2.2,0.6,0.1,16000000.0
Richard Jefferson,DEN,38,20,8.2,10,10,1.5,0.6,1.4,0.1,0.4,0.2,0.4,0.1,0.8,0.8,0.3,0.1,0.1,2328652.0
Richaun Holmes,PHI,24,48,15.5,30,18,6.5,2.8,5.0,0.1,0.6,0.8,1.2,1.2,3.2,1.3,0.5,0.4,0.6,1471382.0
Ricky Rubio,UTA,27,77,29.3,44,33,13.1,4.5,10.7,1.2,3.5,2.9,3.3,0.6,4.0,5.3,2.7,1.6,0.1,14275000.0
Robert Covington,PHI,27,80,31.6,51,29,12.6,4.3,10.5,2.5,6.9,1.5,1.7,0.7,4.7,2.0,1.6,1.7,0.9,16698103.0
Robin Lopez,CHI,30,64,26.4,23,41,11.8,5.3,10.1,0.1,0.2,1.1,1.4,2.1,2.4,1.9,1.7,0.2,0.8,13788500.0
Rodney Hood,CLE,25,60,26.9,29,31,14.7,5.4,12.5,2.1,5.6,1.9,2.2,0.4,2.4,1.6,1.2,0.8,0.2,2386864.0
Rodney McGruder,MIA,26,18,16.6,11,7,5.1,2.0,4.1,0.8,1.9,0.2,0.4,0.6,1.2,0.9,0.2,0.4,0.2,1312611.0
Rodney Purvis,ORL,24,16,18.1,5,11,6.0,2.2,6.7,0.8,3.3,0.8,0.9,0.1,1.6,1.1,0.6,0.2,0.2,46080.0
Ron Baker,NYK,25,29,13.3,12,17,2.4,0.7,2.0,0.4,1.1,0.7,0.9,0.2,0.9,1.6,0.6,0.9,0.2,4328000.0
Royce O'Neale,UTA,25,69,16.7,43,26,5.0,1.7,4.1,0.6,1.7,0.9,1.1,0.4,3.1,1.4,0.8,0.5,0.2,815615.0
Rudy Gay,SAS,31,57,21.6,36,21,11.5,4.4,9.4,0.6,2.1,2.0,2.5,1.3,3.8,1.3,1.4,0.8,0.7,8406000.0
Rudy Gobert,UTA,26,56,32.4,37,19,13.5,4.9,7.9,0.0,0.0,3.6,5.3,2.9,7.8,1.4,1.9,0.8,2.3,21974719.0
Russell Westbrook,OKC,29,80,36.4,47,33,25.4,9.5,21.1,1.2,4.1,5.2,7.1,1.9,8.2,10.3,4.8,1.8,0.3,28530608.0
Ryan Anderson,HOU,30,66,26.1,52,14,9.3,3.1,7.3,2.0,5.1,1.1,1.4,1.4,3.6,0.9,0.6,0.4,0.3,19578455.0
Salah Mejri,DAL,32,61,11.9,21,40,3.5,1.4,2.2,0.0,0.0,0.6,1.1,1.4,2.6,0.6,0.6,0.4,1.1,1471382.0
Sam Dekker,LAC,24,73,12.1,36,37,4.2,1.8,3.5,0.1,0.8,0.5,0.8,0.6,1.8,0.5,0.5,0.3,0.1,1794600.0
Scotty Hopson,DAL,28,1,8.4,0,1,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,74159.0
Semi Ojeleye,BOS,23,73,15.8,50,23,2.7,0.9,2.6,0.5,1.7,0.3,0.6,0.5,1.7,0.3,0.3,0.3,0.1,1291892.0
Serge Ibaka,TOR,28,76,27.5,53,23,12.6,5.0,10.3,1.4,3.9,1.2,1.6,1.0,5.3,0.8,1.2,0.4,1.3,20061729.0
Shabazz Napier,POR,26,74,20.7,46,28,8.7,3.0,7.2,1.1,2.9,1.6,1.9,0.4,1.9,2.0,1.2,1.1,0.2,2361360.0
Shane Larkin,BOS,25,54,14.3,39,15,4.3,1.6,4.1,0.6,1.6,0.6,0.7,0.3,1.4,1.8,0.6,0.5,0.0,1524305.0
Shaun Livingston,GSW,32,71,15.9,49,22,5.5,2.4,4.8,0.0,0.1,0.7,0.9,0.5,1.4,2.0,0.8,0.5,0.3,7692308.0
Shelvin Mack,ORL,28,69,19.8,21,48,6.9,2.6,6.0,0.7,2.0,1.0,1.4,0.3,2.1,3.9,1.3,0.8,0.1,6000000.0
Sindarius Thornwell,LAC,23,73,15.8,36,37,3.9,1.4,3.2,0.3,0.8,0.8,1.2,0.5,1.5,0.9,0.7,0.7,0.3,815615.0
Skal Labissiere,SAC,22,60,20.7,19,41,8.7,3.4,7.6,0.3,0.9,1.6,2.0,1.6,3.2,1.2,1.2,0.4,0.8,1312611.0
Solomon Hill,NOP,27,12,15.6,8,4,2.4,0.9,3.4,0.3,1.8,0.3,0.5,0.8,2.3,1.8,0.8,0.6,0.1,12236535.0
Stanley Johnson,DET,22,69,27.4,33,36,8.7,3.0,8.1,1.0,3.4,1.6,2.1,0.5,3.2,1.6,1.1,1.4,0.2,3097800.0
Stephen Curry,GSW,30,51,32.0,41,10,26.4,8.4,16.9,4.2,9.8,5.5,5.9,0.7,4.4,6.1,3.0,1.6,0.2,34682550.0
Sterling Brown,MIL,23,54,14.4,26,28,4.0,1.5,3.8,0.6,1.7,0.4,0.4,0.5,2.1,0.5,0.5,0.6,0.2,815615.0
Steven Adams,OKC,24,76,32.7,43,33,13.9,5.9,9.4,0.0,0.0,2.1,3.8,5.1,4.0,1.2,1.7,1.2,1.0,22471910.0
T.J. McConnell,PHI,26,76,22.5,50,26,6.3,2.8,5.5,0.4,0.8,0.4,0.5,0.5,2.5,4.0,1.5,1.2,0.2,1471382.0
Taj Gibson,MIN,33,82,33.2,47,35,12.2,5.2,9.0,0.1,0.4,1.7,2.3,2.4,4.8,1.2,1.1,0.8,0.7,14000000.0
Tarik Black,HOU,26,51,10.5,40,11,3.5,1.5,2.5,0.0,0.2,0.6,1.2,1.2,2.0,0.3,0.7,0.4,0.6,3290000.0
Terrance Ferguson,OKC,20,61,12.5,37,24,3.1,1.1,2.8,0.7,2.0,0.1,0.2,0.3,0.5,0.3,0.2,0.4,0.2,1785000.0
Terrence Ross,ORL,27,24,25.0,10,14,8.7,3.2,8.0,1.3,3.9,1.1,1.5,0.4,2.6,1.6,1.2,1.1,0.5,10500000.0
Terry Rozier,BOS,24,80,25.9,54,26,11.3,4.0,10.0,1.9,5.0,1.4,1.9,0.8,3.9,2.9,1.0,1.0,0.2,1988520.0
Thabo Sefolosha,UTA,34,38,21.2,16,22,8.2,3.1,6.3,0.8,2.2,1.2,1.4,0.8,3.5,0.9,0.8,1.4,0.3,5250000.0
Thaddeus Young,IND,30,81,32.2,48,33,11.8,5.2,10.7,0.7,2.2,0.7,1.1,2.3,4.0,1.9,1.3,1.7,0.4,14796348.0
Thomas Bryant,LAL,20,15,4.8,7,8,1.5,0.5,1.4,0.1,0.7,0.3,0.6,0.2,0.9,0.4,0.1,0.1,0.1,815615.0
Thon Maker,MIL,21,74,16.7,40,34,4.8,1.8,4.3,0.4,1.4,0.9,1.3,1.0,2.0,0.6,0.6,0.5,0.7,2684160.0
Tim Frazier,WAS,27,59,14.2,31,28,3.0,1.2,2.9,0.3,0.9,0.4,0.5,0.3,1.6,3.3,1.0,0.8,0.1,2000000.0
Timothe Luwawu-Cabarrot,PHI,23,52,15.5,29,23,5.8,1.9,5.1,1.0,3.0,0.9,1.1,0.3,1.1,1.0,0.7,0.2,0.1,1386600.0
Tobias Harris,LAC,25,80,33.3,39,41,18.6,7.0,15.3,2.3,5.6,2.2,2.7,0.7,4.7,2.4,1.3,0.9,0.4,16000000.0
Tomas Satoransky,WAS,26,73,22.5,39,34,7.2,2.8,5.3,0.6,1.4,1.0,1.3,1.0,2.2,3.9,1.1,0.7,0.2,3000000.0
Tony Bradley,UTA,20,9,3.2,6,3,0.9,0.3,1.2,0.0,0.1,0.2,0.2,0.4,0.8,0.1,0.0,0.0,0.0,1414920.0
Tony Parker,SAS,36,55,19.5,32,23,7.7,3.2,7.1,0.2,0.7,1.0,1.4,0.1,1.6,3.5,1.2,0.5,0.0,15453126.0
Tony Snell,MIL,26,75,27.4,42,33,6.9,2.5,5.7,1.4,3.6,0.5,0.6,0.1,1.8,1.3,0.5,0.6,0.4,9821429.0
Travis Wear,LAL,27,17,13.4,7,10,4.4,1.5,4.2,1.0,2.8,0.5,0.5,0.0,2.2,0.4,0.4,0.2,0.3,148318.0
Trevor Ariza,HOU,33,67,33.9,51,16,11.7,4.0,9.7,2.5,6.9,1.1,1.3,0.5,3.9,1.6,0.8,1.5,0.2,7420912.0
Trey Burke,NYK,25,36,21.8,10,26,12.8,5.4,10.7,1.1,2.9,1.0,1.6,0.4,1.6,4.7,1.2,0.7,0.1,784160.0
Trey Lyles,DEN,22,73,19.1,41,32,9.9,3.7,7.5,1.1,3.0,1.4,2.0,0.8,4.0,1.2,0.8,0.4,0.5,2441400.0
Trey McKinney-Jones,IND,27,1,1.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46080.0
Tristan Thompson,CLE,27,53,20.2,27,26,5.8,2.5,4.4,0.0,0.0,0.8,1.5,2.4,4.3,0.6,0.7,0.3,0.3,16400000.0
Troy Williams,NYK,23,21,14.6,7,14,6.3,2.4,5.2,0.5,1.8,1.0,1.4,1.0,2.0,0.8,0.9,1.0,0.2,148318.0
Tyler Cavanaugh,ATL,24,39,13.3,11,28,4.7,1.7,3.9,0.8,2.3,0.4,0.5,1.2,2.1,0.7,0.3,0.2,0.1,50000.0
Tyler Dorsey,ATL,22,56,17.4,15,41,7.2,2.6,6.8,1.3,3.6,0.8,1.1,0.3,2.0,1.4,0.7,0.3,0.1,815615.0
Tyler Ennis,LAL,23,54,12.7,22,32,4.1,1.7,4.1,0.3,1.0,0.4,0.5,0.4,1.4,1.9,0.7,0.6,0.2,1524305.0
Tyler Johnson,MIA,26,72,28.5,39,33,11.7,4.3,9.9,1.7,4.5,1.5,1.8,0.5,3.0,2.3,1.1,0.8,0.5,5881260.0
Tyler Lydon,DEN,22,1,2.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579440.0
Tyler Zeller,MIL,28,66,16.8,27,39,6.7,2.8,5.1,0.2,0.4,0.9,1.2,1.7,3.0,0.7,0.7,0.2,0.5,1709538.0
Tyreke Evans,MEM,28,52,30.9,19,33,19.4,7.0,15.6,2.2,5.5,3.2,4.0,0.8,4.3,5.2,2.3,1.1,0.3,3290000.0
Tyus Jones,MIN,22,82,17.9,47,35,5.1,1.8,4.0,0.5,1.6,0.9,1.0,0.2,1.4,2.8,0.7,1.2,0.1,1471382.0
Udonis Haslem,MIA,38,14,5.1,9,5,0.6,0.2,1.1,0.1,0.6,0.1,0.1,0.2,0.5,0.4,0.1,0.0,0.1,2328652.0
Vander Blue,LAL,25,5,9.0,1,4,0.6,0.2,1.0,0.0,0.4,0.2,0.4,0.0,0.2,0.6,0.6,0.2,0.0,50000.0
Victor Oladipo,IND,26,75,34.0,48,27,23.1,8.5,17.9,2.1,5.8,3.9,4.9,0.6,4.6,4.3,2.9,2.4,0.8,21000000.0
Vince Carter,SAC,41,58,17.7,20,38,5.4,2.0,4.9,1.0,2.8,0.5,0.6,0.3,2.2,1.2,0.6,0.7,0.4,8000000.0
Wayne Ellington,MIA,30,77,26.5,42,35,11.2,3.7,9.1,2.9,7.5,0.9,1.0,0.3,2.5,1.0,0.7,0.7,0.1,6270000.0
Wayne Selden,MEM,23,35,19.8,10,25,9.3,3.3,7.7,1.4,3.5,1.3,1.7,0.5,1.1,1.9,1.5,0.5,0.1,1312611.0
Wesley Johnson,LAC,30,74,20.1,38,36,5.4,2.0,5.0,0.8,2.4,0.6,0.8,0.4,2.5,0.8,0.7,1.0,0.8,5881260.0
Wesley Matthews,DAL,31,63,33.8,20,43,12.7,4.5,11.1,2.4,6.4,1.3,1.6,0.4,2.7,2.7,1.3,1.2,0.3,17884176.0
Will Barton,DEN,27,81,33.1,46,35,15.7,5.7,12.7,1.9,5.2,2.2,2.8,0.9,4.2,4.1,1.8,1.0,0.6,3533333.0
Willie Cauley-Stein,SAC,24,73,28.0,23,50,12.8,5.3,10.6,0.0,0.2,2.1,3.4,1.8,5.2,2.4,1.5,1.1,0.9,3704160.0
Wilson Chandler,DEN,31,74,31.7,41,33,10.0,3.8,8.5,1.2,3.3,1.2,1.5,1.4,4.0,2.1,1.2,0.6,0.5,12016854.0
Xavier Rathan-Mayes,MEM,24,5,23.6,0,5,5.8,2.4,8.4,0.2,2.8,0.8,1.8,0.0,1.0,3.6,2.2,1.2,0.6,46080.0
Yogi Ferrell,DAL,25,82,27.8,24,58,10.2,3.8,8.9,1.6,4.4,1.0,1.3,0.3,2.7,2.5,1.0,0.8,0.1,1312611.0
Zach Collins,POR,20,66,15.8,41,25,4.4,1.7,4.4,0.5,1.7,0.4,0.6,0.7,2.7,0.8,0.9,0.3,0.5,3057240.0
Zach LaVine,CHI,23,24,27.3,9,15,16.7,5.7,14.8,1.8,5.1,3.6,4.5,0.4,3.5,3.0,1.8,1.0,0.2,3202217.0
Zach Randolph,SAC,36,59,25.6,18,41,14.5,6.1,12.9,0.9,2.5,1.4,1.8,1.6,5.1,2.2,2.0,0.7,0.2,12307692.0
Zaza Pachulia,GSW,34,69,14.1,47,22,5.4,2.2,3.8,0.0,0.0,1.1,1.3,1.3,3.4,1.6,1.0,0.6,0.2,3477600.0
Zhou Qi,HOU,22,18,6.9,14,4,1.2,0.3,1.8,0.1,1.1,0.4,0.7,0.3,0.9,0.1,0.6,0.1,0.8,815615.0
