,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
207,Aaron Harrison,CHA,21,2,1,1,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.6,0,0,-3.5
207,Briante Weber,MIA,23,2,1,1,3,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,2.3,0,0,4
207,CJ Wilcox,LAC,25,2,0,2,3.7,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,1.4,0,0,4.5
207,John Holland,BOS,27,1,0,1,1.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
207,Jordan Hill,IND,28,5,3,2,3,0,0,0.6,0,0,0,0,0.4,0.8,1.2,0.4,0,0,0,0.2,2,0,0,-0.4
207,Jorge Gutierrez,CHA,27,3,1,2,3.9,0,0,1,0,0,0,0,0,0.7,0.7,0.7,0.3,0,0,0,1.5,0,0,-2.7
207,Noah Vonleh,POR,20,6,3,3,2,0,0,0.5,0,0,0,0,0.2,0.5,0.7,0.3,0,0.3,0,0.2,2.3,0,0,-0.7
207,Pablo Prigioni,LAC,39,5,2,3,5.2,0,0,1,0,0.4,0,0,0.4,0.2,0.6,1.4,0.6,0,0,1.6,2.2,0,0,-0.8
207,Tyler Hansbrough,CHA,30,2,1,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5
206,Nazr Mohammed,OKC,38,5,3,2,1.9,0.4,0.2,0.4,0,0,0,0,0.2,0.4,0.6,0,0.2,0,0.2,0.2,1.5,0,0,0.6
203,James Jones,CLE,35,12,9,3,4.6,0.5,0.2,0.8,0.1,0.6,0.1,0.3,0.1,0.3,0.3,0.3,0.1,0,0,0.3,1.2,0,0,-0.3
203,Kelly Olynyk,BOS,25,4,1,3,7.9,0.5,0.3,2.3,0,0.8,0,0,0.5,0.5,1,0.8,1,0.3,0,1.3,2.6,0,0,-8
203,Troy Daniels,CHA,24,4,1,3,4.4,0.5,0.3,2,0,0.8,0,0,0,0.5,0.5,0,0,0,0,0.5,1.1,0,0,-2.3
202,James Michael McAdoo,GSW,23,8,4,4,4.7,0.6,0.3,0.5,0,0,0.1,0.5,0,1,1,0.3,0.1,0.4,0.3,0.8,4,0,0,-1.5
201,James Young,BOS,20,3,0,3,3.4,0.7,0.3,1,0,0.3,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,0,-0.7
199,Brian Roberts,POR,30,10,4,6,3.6,0.8,0.2,0.9,0,0.4,0.4,0.6,0.1,0,0.1,0.3,0.1,0,0,0.5,1.3,0,0,1.8
199,Jason Thompson,TOR,29,10,3,7,5.5,0.8,0.4,0.9,0,0.1,0,0.3,0.6,0.5,1.1,0.1,0.1,0,0.1,0.6,2.5,0,0,-1
198,Kirk Hinrich,ATL,35,6,4,2,4.6,0.8,0.3,1.2,0.2,0.5,0,0,0,0.7,0.7,0.5,0,0,0,0.3,2.4,0,0,1.2
194,Lavoy Allen,IND,27,6,3,3,8.5,1,0.5,1.7,0,0,0,0,0.7,1.7,2.3,0.3,0.2,0.2,0.2,0.3,5.1,0,0,-3.7
194,Nick Collison,OKC,35,9,6,3,8.7,1,0.4,0.7,0,0,0.1,0.2,0.3,0.9,1.2,0.6,0.1,0.9,0,1.9,5.9,0,0,0.2
