,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
209,Daniel Ochefu,WAS,23,4,1,3,1.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0.3,0.1,0,0,0
209,Isaiah Taylor,HOU,22,3,1,2,3.2,0,0,0.7,0,0.3,0,0,0.3,0.3,0.7,0.3,0,0,0,0.3,1.3,0,0,-0.3
209,Kris Humphries,ATL,32,1,1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,-1
209,Kyle Singler,OKC,29,1,0,1,10.4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1.2,0,0,-4
209,Lavoy Allen,IND,28,3,0,3,3.7,0,0,0,0,0,0,0,0,0.7,0.7,0,0.3,0,0,0,0.5,0,0,2
209,Pascal Siakam,TOR,23,2,0,2,5,0,0,1,0,0,0,0,1,0.5,1.5,0.5,0,0.5,0,0.5,4.1,0,0,7
209,Trey Burke,WAS,24,3,2,1,6.6,0,0,1.3,0,0.7,0,0,0,0,0,1.7,0,0,0,0.7,2.5,0,0,0.3
208,Troy Williams,HOU,22,5,3,2,3.7,0.2,0,1.8,0,1,0.2,0.4,0.4,1,1.4,0.2,0.4,0,0,0,1.8,0,0,-2.4
206,James Jones,CLE,36,8,6,2,3.7,0.3,0.1,0.6,0,0.4,0,0,0.1,0.4,0.5,0,0.3,0,0,0.4,0.6,0,0,-2
206,Thabo Sefolosha,ATL,33,4,2,2,2.2,0.3,0,0.3,0,0,0.3,1,0,0,0,0,0,0,0,0.3,0.3,0,0,-2.8
205,Wesley Johnson,LAC,29,3,1,2,3.6,0.3,0,0,0,0,0.3,0.7,0,0.7,0.7,0,0,0.3,0,0.7,2.1,0,0,-2.7
202,Jarell Martin,MEM,23,3,1,2,3.2,0.7,0.3,1,0,0,0,0,0.7,0.7,1.3,0,0,0.3,0,0.7,3.3,0,0,-0.3
202,Meyers Leonard,POR,25,3,0,3,10.2,0.7,0.3,1.7,0,1.3,0,0,0.7,2,2.7,0.3,1.3,0,0,2,3,0,0,-6
202,Wade Baldwin IV,MEM,21,3,1,2,4.1,0.7,0,0.3,0,0,0.7,0.7,0.3,1,1.3,0.7,0,0,0,1,3.3,0,0,-2.7
201,Matt Barnes,GSW,37,12,11,1,5.1,0.8,0.3,1.3,0.1,0.7,0,0,0,0.8,0.8,0.6,0.3,0.2,0,0.8,2.8,0,0,-1.5
200,Tomas Satoransky,WAS,25,10,5,5,3.6,0.8,0.3,0.6,0,0,0.2,0.5,0.1,0.4,0.5,0.6,0.2,0.1,0,0.4,2.4,0,0,0
197,Lucas Nogueira,TOR,24,3,1,2,2.4,1,0.3,0.7,0,0,0.3,0.7,0.7,1,1.7,0,0,0,0,0.3,3,0,0,3
197,Mirza Teletovic,MIL,31,3,1,2,9.1,1,0.3,2,0.3,1.3,0,0,0,1,1,0,0.3,0.3,0,1,2.9,0,0,-8.3
197,Montrezl Harrell,HOU,23,5,3,2,4.2,1,0.2,0.6,0,0,0.6,1.2,0.2,1,1.2,0.4,0.4,0,0,1.4,2.6,0,0,-1.4
195,Denzel Valentine,CHI,23,4,1,3,5.5,1.3,0.5,1.5,0.3,1,0,0,0,2,2,0.5,0.5,0,0.3,0.3,4.7,0,0,1.5
195,Norris Cole,OKC,28,4,1,3,6.1,1.3,0.5,2,0.3,1,0,0,0,0.3,0.3,0.3,0.5,0,0.3,1,2.2,0,0,-8.3
191,James Young,BOS,21,10,5,5,3.9,1.5,0.5,1.5,0.5,1.4,0,0,0.1,0.6,0.7,0.3,0.1,0,0,0.2,2.7,0,0,0.4
191,John Henson,MIL,26,2,0,2,5.8,1.5,0.5,2,0,0,0.5,0.5,1,1,2,0,0.5,0.5,0,0.5,4.9,0,0,-5
191,Tim Quarterman,POR,22,2,0,2,3.6,1.5,0.5,1,0.5,1,0,0,0,0,0,0.5,0,0,0,0.5,2.3,0,0,2
191,Troy Daniels,MEM,25,6,2,4,11.4,1.5,0.5,1.5,0.5,1.5,0,0,0.2,0.7,0.8,0.3,0.3,0.3,0,0.2,3.7,0,0,1.3
190,Dahntay Jones,CLE,36,10,8,2,3.3,1.6,0.5,1,0.1,0.2,0.5,0.5,0.1,0.6,0.7,0.1,0.1,0,0.1,0.7,2.8,0,0,-1.7
187,Jakob Poeltl,TOR,21,6,2,4,4.4,1.7,0.8,1.8,0,0,0,0.3,1,1,2,0,0,0.2,0.2,0.5,5.1,0,0,3.5
187,Jeff Withey,UTA,27,3,2,1,6.9,1.7,0.7,1.3,0,0,0.3,0.7,1,0.3,1.3,0.3,0,0.3,0.3,1.7,5.8,0,0,-2
187,Spencer Hawes,MIL,29,3,2,1,5.5,1.7,0.7,1.7,0.3,0.7,0,0,0.7,0.7,1.3,0.3,0.3,0,0.3,1,4.4,0,0,-1.7
186,Damian Jones,GSW,22,4,4,0,5.2,1.8,0.8,1.8,0,0,0.3,0.5,1,0.5,1.5,0,0,0.5,0.3,0.8,5.8,0,0,-2
185,James Michael McAdoo,GSW,24,13,12,1,4.3,1.8,0.7,1.3,0.2,0.4,0.3,0.5,0.4,0.6,1,0,0.1,0.2,0.2,0.4,3.9,0,0,-1.4
174,Brandan Wright,MEM,29,2,0,2,6.2,2,1,2.5,0,0,0,0,0.5,0.5,1,0,0.5,0,1,0,5.7,0,0,-4.5
174,Brandon Bass,LAC,32,1,0,1,3.8,2,1,3,0,0,0,0,1,0,1,0,0,1,0,0,6.2,0,0,-5
174,Domantas Sabonis,OKC,21,2,0,2,3,2,0,1.5,0,0.5,2,2,0,1,1,0,0,0.5,0.5,2,6.2,0,0,-2
174,Fred VanVleet,TOR,23,7,1,6,4.2,2,0.9,1.3,0.3,0.7,0,0,0,0.1,0.1,0.6,0.1,0.1,0,0.4,3.3,0,0,2.6
174,Joel Anthony,SAS,34,3,1,2,5.2,2,1,1.3,0,0,0,0.3,0.7,0.7,1.3,0,0.3,0,0.7,0.7,5.3,0,0,-1.7
174,Joel Bolomboy,UTA,23,2,0,2,4.5,2,1,1.5,0,0,0,0,0,1,1,0,0,0,0.5,0,4.7,0,0,4
174,Jordan Mickey,BOS,22,2,0,2,8.8,2,1,2.5,0,0,0,0,0,2.5,2.5,0,0.5,0,0.5,1.5,6,0,0,4
