,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
170,Abdel Nader,OKC,25,1,0,1,3.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,-2
170,Anfernee Simons,POR,19,1,1,0,2.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
170,Brad Wanamaker,BOS,29,1,1,0,3.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-11
170,Daniel Theis,BOS,27,1,1,0,4.5,0,0,1,0,0,0,0,1,2,3,0,0,0,0,0,3.6,0,0,-3
170,Dante Cunningham,SAS,31,1,0,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
170,Edmond Sumner,IND,23,1,0,1,1.6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2.4,0,0,5
170,Ekpe Udoh,UTA,31,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
170,Eric Moreland,TOR,27,1,1,0,2.6,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2.4,0,0,-3
170,Ersan Ilyasova,MIL,31,1,1,0,22.9,0,0,4,0,3,0,0,2,4,6,2,1,0,2,1,15.2,0,0,4
170,Grayson Allen,UTA,23,1,0,1,4.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12
170,Guerschon Yabusele,BOS,23,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Iman Shumpert,HOU,28,1,1,0,6.7,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1.2,0,0,15
170,Jerian Grant,ORL,26,1,0,1,5.9,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0.5,0,0,2
170,Jerome Robinson,LAC,22,1,0,1,3.2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.7,0,0,-2
170,Jonas Jerebko,GSW,32,2,1,1,2.8,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0.6,0,0,2
170,Jordan Bell,GSW,24,2,1,1,2.6,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,2.1,0,0,-0.5
170,Jose Calderon,DET,37,1,0,1,3.8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4.5,0,0,1
170,Kyle O'Quinn,IND,29,1,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,5
170,Lonnie Walker IV,SAS,20,2,1,1,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,1
170,Malcolm Miller,TOR,26,1,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
170,Melvin Frazier Jr.,ORL,22,1,0,1,5.9,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,2
170,Quincy Pondexter,SAS,31,1,0,1,1.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,2
170,Raul Neto,UTA,26,1,0,1,11.4,0,0,2,0,0,0,0,0,2,2,1,0,0,0,1,3.9,0,0,-13
170,Robert Williams III,BOS,21,1,1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
170,Semi Ojeleye,BOS,24,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Sindarius Thornwell,LAC,24,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Skal Labissiere,POR,23,1,1,0,2.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
170,Zhaire Smith,PHI,19,1,0,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
169,Raymond Felton,OKC,34,2,0,2,12.8,0.5,0,2.5,0,1.5,0.5,1,0,0.5,0.5,1,1,1,0.5,2,6.1,0,0,8
167,Evan Turner,POR,30,2,2,0,14,1,0.5,2.5,0,0,0,0,0.5,3,3.5,1.5,1.5,0.5,0,1.5,7.5,0,0,-0.5
167,Ivica Zubac,LAC,22,2,1,1,9.5,1,0.5,2,0,0,0,0,0.5,2.5,3,0.5,1.5,0.5,0,1.5,5.4,0,0,-1.5
164,Alfonzo McKinnie,GSW,26,2,1,1,5,1.5,0.5,1,0.5,0.5,0,0,0.5,1,1.5,0,0,0,0.5,0.5,4.8,0,0,2
164,Jodie Meeks,TOR,31,2,1,1,5.6,1.5,0.5,2.5,0,1.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,2.4,0,0,-0.5
164,Jonah Bolden,PHI,23,2,1,1,10,1.5,0.5,2,0,1.5,0.5,1,0.5,1.5,2,0,0.5,0,0,1,3.4,0,0,-2
150,Aron Baynes,BOS,32,1,1,0,22.9,2,1,2,0,0,0,0,2,7,9,0,1,0,1,4,14.8,0,0,0
150,Bruce Brown,DET,22,1,0,1,12.4,2,1,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,-25
150,Deonte Burton,OKC,25,1,0,1,3.5,2,1,4,0,1,0,0,1,1,2,0,0,0,0,0,4.4,0,0,1
150,Donatas Motiejunas,SAS,28,1,0,1,1.3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
150,Doug McDermott,IND,27,1,0,1,12.8,2,1,7,0,5,0,2,3,1,4,2,0,0,1,0,12.8,0,0,6
150,Georges Niang,UTA,25,1,0,1,3,2,1,2,0,0,0,0,0,1,1,0,2,0,0,1,1.2,0,0,-10
150,Jake Layman,POR,25,1,1,0,5.7,2,0,1,0,1,2,2,0,3,3,0,0,0,0,1,5.6,0,0,-3
150,Jaylen Brown,BOS,22,1,1,0,28,2,1,5,0,3,0,0,1,4,5,0,3,1,0,2,8,0,0,-3
150,Jon Leuer,DET,29,1,0,1,4.9,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1
150,Kyle Korver,UTA,38,1,0,1,10.4,2,0,0,0,0,2,3,0,1,1,0,0,0,0,4,3.2,0,0,-4
150,Royce O'Neale,UTA,25,1,0,1,15.4,2,1,5,0,2,0,0,0,3,3,0,1,0,0,2,4.6,0,0,-4
150,TJ Leaf,IND,21,1,0,1,9.8,2,0,3,0,1,2,2,1,2,3,0,0,0,0,0,5.6,0,0,7
150,Tyrone Wallace,LAC,24,1,0,1,1.8,2,0,1,0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0
150,Wilson Chandler,LAC,31,2,1,1,9.5,2,0.5,2,0,1.5,1,1,0,1.5,1.5,0.5,0.5,0.5,0,1,5.6,0,0,4
