,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
199,Brandon Paul,SAS,27,1,0,1,2.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,5
199,Chinanu Onuaku,HOU,21,1,1,0,3.2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,5.7,0,0,-3
199,Dakari Johnson,OKC,22,2,0,2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
199,Emeka Okafor,NOP,35,1,1,0,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8
199,Jason Smith,WAS,32,1,1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
199,Jerryd Bayless,PHI,29,1,0,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,Joe Young,IND,26,1,1,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
199,Luke Babbitt,MIA,29,2,0,2,1.7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
199,Marcus Georges-Hunt,MIN,24,2,0,2,1.4,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.6,0,0,-1.5
199,Richaun Holmes,PHI,24,3,1,2,3.6,0,0,0.3,0,0,0,0,0,0.3,0.3,0.3,0,0,0,1,0.9,0,0,-1.7
199,TJ Leaf,IND,21,1,1,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
199,Tim Frazier,WAS,27,2,1,1,3,0,0,0.5,0,0,0,0,0,0.5,0.5,1.5,0,0.5,0,1,4.4,0,0,-1.5
198,Lucas Nogueira,TOR,25,5,2,3,4.8,0.2,0,0.2,0,0,0.2,0.4,0,0.2,0.2,0.2,0.6,0,0,1.2,0.1,0,0,-5.6
197,Tarik Black,HOU,26,7,5,2,2.7,0.3,0.1,0.6,0,0,0,0,0.3,0.6,0.9,0.3,0.1,0,0.1,0.7,2,0,0,-2.9
194,DeAndre Liggins,NOP,30,3,2,1,4.5,0.3,0,0.3,0,0,0.3,0.7,0,0.3,0.3,0,0.7,0,0,0,0.1,0,0,-7.3
194,Ekpe Udoh,UTA,31,6,2,4,3.5,0.3,0.2,0.2,0,0,0,0.7,0.2,0.3,0.5,0,0.2,0,0.3,0.3,1.8,0,0,-0.8
194,Guerschon Yabusele,BOS,22,12,6,6,4,0.3,0.1,0.8,0,0.5,0.2,0.4,0.3,0.7,0.9,0.3,0,0.2,0,0.8,2.3,0,0,-0.3
193,Rodney McGruder,MIA,26,4,1,3,4,0.5,0.3,1,0,0.5,0,0,0,1,1,0,0,0,0,0.8,1.7,0,0,-2
191,Patrick McCaw,GSW,22,6,6,0,2.7,0.7,0.2,0.3,0,0.2,0.3,0.3,0.2,0.3,0.5,0,0,0.3,0,0.2,2.3,0,0,-0.5
191,Zhou Qi,HOU,22,3,2,1,1.9,0.7,0.3,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,1.1,0,0,0
190,Aaron Jackson,HOU,32,7,5,2,2.4,0.7,0.3,0.6,0,0.3,0.1,0.3,0.3,0.3,0.6,0.3,0.3,0,0,0.3,1.5,0,0,-1
189,Josh Huestis,OKC,26,4,1,3,4.8,0.8,0.3,0.5,0,0,0.3,0.5,0,0.8,0.8,0,0,0.3,0.3,0.8,3.2,0,0,-0.3
182,Cedi Osman,CLE,23,14,5,9,4.4,1,0.4,1.3,0.1,0.5,0.1,0.3,0.1,0.4,0.5,0.2,0,0.2,0,0.4,2.6,0,0,0.8
182,Damian Jones,GSW,23,4,4,0,2.7,1,0.3,0.5,0,0,0.5,0.8,0.3,0.5,0.8,0,0.8,0,0,1,1.2,0,0,-5
182,David Stockton,UTA,27,2,1,1,2.9,1,0.5,1.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,1.6,0,0,1.5
182,Glenn Robinson III,IND,24,2,1,1,2.8,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,0.5
182,Terrance Ferguson,OKC,20,3,1,2,2.1,1,0.3,0.3,0.3,0.3,0,0,0.3,0,0.3,0.3,0,0,0,0.7,1.9,0,0,3.7
182,Tyus Jones,MIN,22,4,1,3,13.7,1,0.5,1.8,0,0.5,0,0,0,2.3,2.3,2,0.3,0.3,0,0,7.2,0,0,0.8
182,Wade Baldwin IV,POR,22,4,0,4,4.8,1,0.3,1,0.3,0.3,0.3,0.5,0,0.8,0.8,0.8,0.8,0.3,0.3,0.3,3.8,0,0,1.8
181,Abdel Nader,BOS,24,11,6,5,3,1.1,0.5,1.4,0,0.4,0.2,0.4,0.1,0.2,0.3,0.3,0.2,0.1,0.1,0.2,2.2,0,0,-0.9
180,Justin Anderson,PHI,24,7,5,2,4.7,1.1,0.4,1.1,0.3,1,0,0,0.1,1.1,1.3,0,0.3,0.1,0,1.1,2.8,0,0,0.6
179,Tomas Satoransky,WAS,26,6,2,4,10,1.2,0.3,2.2,0,0.5,0.5,0.7,0.8,0.7,1.5,0.5,0.5,0,0,0.7,3.2,0,0,-1.3
178,Patrick Patterson,OKC,29,6,2,4,9.6,1.3,0.5,1,0.3,0.7,0,0,0.2,1.7,1.8,0.5,0.5,0.2,0,1.3,4.3,0,0,-4
177,Cheick Diallo,NOP,21,7,4,3,6.9,1.4,0.7,1.7,0,0,0,0,0.6,0.7,1.3,0,0.1,0.1,0.1,1.3,3.7,0,0,-3.9
176,Joe Johnson,HOU,37,8,5,3,6.7,1.5,0.8,2.1,0,0.4,0,0,0,1.3,1.3,0.4,0.4,0,0.1,0.5,3.6,0,0,-5
175,Tyler Zeller,MIL,28,7,3,4,9.4,1.6,0.6,0.7,0,0,0.4,0.6,0.3,1.7,2,0.4,0.1,0.6,0.4,1.6,7.5,0,0,-4.9
174,Ante Zizic,CLE,21,8,2,6,2.9,1.6,0.6,1.3,0,0,0.4,0.8,0.1,0.6,0.8,0.1,0.3,0,0.1,0.3,2.8,0,0,1.4
173,Markelle Fultz,PHI,20,3,2,1,7.6,1.7,0.3,2.3,0,0,1,1.3,0,1,1,1.7,0.3,0.7,0,1.3,7,0,0,0.7
172,Ryan Anderson,HOU,30,11,5,6,8.7,1.7,0.6,1.8,0.5,1.4,0,0,0.4,0.8,1.2,0.5,0.3,0.3,0.1,0.9,4.8,0,0,-5.2
171,Jose Calderon,CLE,36,13,5,8,8,1.8,0.7,2,0.3,1.4,0.2,0.2,0.2,0.7,0.8,0.7,0.4,0.4,0,1.2,4.7,0,0,0.6
170,Semi Ojeleye,BOS,23,17,10,7,13.5,1.9,0.6,1.9,0.4,1.3,0.4,0.4,0.2,1.4,1.6,0.1,0.1,0.2,0,1.2,4.4,0,0,-2.4
169,Jonas Jerebko,UTA,31,10,4,6,7.9,1.9,0.8,1.9,0.1,0.6,0.2,0.2,0.4,1.2,1.6,0.3,0.1,0.3,0,0.9,5.1,0,0,-1
162,Aaron Brooks,MIN,33,2,1,1,1.3,2,1,1.5,0,0.5,0,1,0,0,0,0,0,0,0,0,2,0,0,0
162,Brandon Jennings,MIL,28,1,1,0,4.9,2,0,2,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,-1
162,Jason Terry,MIL,40,3,0,3,14.6,2,0.7,1.7,0.7,1.7,0,0,0.3,0.3,0.7,0.7,0.3,0.3,0,0.7,4.5,0,0,0.3
162,Joffrey Lauvergne,SAS,26,1,0,1,5.9,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,3
