,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
39,Draymond Green,GSW,25,21,16,5,37.3,13.7,4.8,11.4,1.1,4.3,3,4.1,2.2,7.9,10.1,5.2,2.8,1.8,1.2,4.2,39.9,12,1,9
38,Nicolas Batum,POR,26,5,1,4,41.7,14.2,4.8,14,2.6,7.8,2,2.6,1.2,7.4,8.6,5.2,2.4,0.2,0.2,2.2,31.1,1,0,-5
37,Kevin Love,CLE,26,4,4,0,26.7,14.3,4.3,10.3,2.3,5.3,3.5,4.8,1.5,5.5,7,2.5,1.5,0.3,0.5,3,27.2,1,0,9
36,Mike Conley,MEM,27,8,5,3,30.4,14.4,5.1,12,1.3,4.1,2.9,3.5,0,1.1,1.1,5,1.5,1.4,0,1.3,25.9,0,0,1.8
35,Pau Gasol,CHI,34,10,6,4,31.7,14.4,5.6,11.5,0,0.4,3.2,4.2,1.7,7.7,9.4,3.1,2.1,0.5,2.1,1.8,36,6,0,6.5
34,Al Horford,ATL,29,16,8,8,32.6,14.4,6.7,13.2,0.1,0.6,0.9,1.3,2.5,6.1,8.6,3.7,1.6,0.8,1.4,2.1,35.5,7,0,2.5
33,DeMarre Carroll,ATL,28,16,8,8,34.9,14.6,5.4,11.1,1.8,4.5,2,2.6,1.6,4.4,6.1,2,0.9,1.1,0.3,2.3,28.2,2,0,2
32,Paul Pierce,WAS,37,10,6,4,29.8,14.6,4.8,9.9,3.3,6.3,1.7,2,0,4.2,4.2,0.9,1,0.6,0.7,3.3,23.9,0,0,1
31,JJ Redick,LAC,31,14,7,7,38.6,14.9,5,11.5,2.5,6.3,2.4,2.5,0,2.1,2.1,1.7,1.9,0.7,0.4,2.6,21.4,0,0,2.8
30,Paul Millsap,ATL,30,16,8,8,35.4,15.2,5.3,13.1,0.9,3.1,3.6,4.9,2.3,6.4,8.7,3.4,2.1,1.6,0.9,3.3,36,6,0,3.4
29,Zach Randolph,MEM,33,11,6,5,34.7,15.6,6.5,15.3,0.1,0.5,2.6,3,2.9,5.5,8.5,2.1,2.1,0.5,0,3.4,28.5,4,0,-0.6
