,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPA,TPM,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
295,PJ Hairston,CHA,22,45,19,26,15.3,5.6,1.9,6,3.6,1.0836,0.7,0.8,0.5,1.6,0.5,0.5,0.5,0.3,1.4,10.6,1,0,-2.3
294,Pero Antic,ATL,32,63,46,17,16.5,5.7,1.7,4.7,2.7,0.8127,1.4,2,0.9,2.1,0.8,0.8,0.3,0.2,2.1,11.2,0,0,2.4
293,Nate Robinson,DEN,31,42,22,20,14.1,5.7,2.1,6.1,2.7,0.7479,0.7,1.1,0.4,0.8,2.3,0.7,0.5,0.1,1.8,11.5,0,0,-3
292,Thomas Robinson,PHI,24,54,26,28,14.8,5.7,2.3,4.8,0,0,1,2,1.8,3.9,0.6,1.1,0.6,0.4,1.9,15.2,4,0,0.2
291,Kirk Hinrich,CHI,34,66,37,29,24.4,5.7,2.2,5.8,2.5,0.8625,0.5,0.8,0.3,1.5,2.2,1.1,0.7,0.2,2.2,12.9,0,0,0.6
290,Chris Johnson,UTA,25,29,9,20,18.2,5.7,2.1,5.3,3.3,0.9735,0.5,0.6,0.3,1.6,0.5,0.5,0.9,0.2,1.5,11.7,0,0,-1.1
289,Kyle O'Quinn,ORL,25,51,15,36,16.2,5.8,2.3,4.7,0.8,0.2232,0.9,1.1,0.9,3,1.2,1.1,0.6,0.8,2.2,15.2,3,0,-2.4
288,Vince Carter,MEM,38,66,45,21,16.5,5.8,2,6.2,3.5,1.0395,0.7,0.9,0.4,1.6,1.2,0.7,0.7,0.2,1.5,12,0,0,0.5
287,Spencer Hawes,LAC,27,73,52,21,17.5,5.8,2.2,5.7,2.4,0.7512,0.6,0.9,0.4,3.1,1.2,0.8,0.3,0.7,2.4,14.2,0,0,-1.3
286,Richard Jefferson,DAL,35,74,46,28,16.8,5.8,1.9,4.4,2.1,0.8946,1.1,1.5,0.3,2.1,0.8,0.7,0.4,0.1,1.6,11.1,2,0,0.1
285,Quincy Acy,NYK,24,68,12,56,18.9,5.9,2.2,4.9,0.9,0.27,1.1,1.4,1.2,3.3,1,0.9,0.4,0.3,2.2,13.9,1,0,-3.1
284,Willie Green,ORL,33,52,15,37,18.3,5.9,2.3,5.9,2.3,0.7981,0.5,0.7,0.3,1.3,1.3,0.9,0.5,0.1,1.6,10.5,0,0,-1.6
283,Caron Butler,DET,35,78,30,48,20.8,5.9,2.1,5.1,2.8,1.0612,0.7,0.8,0.3,2.2,1,0.6,0.6,0.1,1.5,11.6,0,0,-0.3
282,Shaun Livingston,GSW,29,78,64,14,18.8,5.9,2.5,5.1,0,0,0.8,1.2,0.6,1.8,3.3,1.3,0.6,0.3,1.4,15.1,1,0,0.7
281,Tyler Johnson,MIA,23,32,15,17,18.8,5.9,2.2,5.2,1.5,0.5625,1,1.5,0.4,2.1,1.3,0.9,1,0.3,1.3,13.9,1,0,-2
280,Meyers Leonard,POR,23,55,32,23,15.4,5.9,2.3,4.5,2,0.84,0.5,0.6,0.8,3.7,0.6,0.7,0.2,0.3,2.1,12.9,3,0,0.3
279,Jonas Jerebko,BOS,28,75,37,38,16.4,6,2.3,5.1,1.9,0.7334,0.7,0.9,1.2,2.5,0.9,0.6,0.6,0.2,1.8,13.9,1,0,1.9
278,Kyle Singler,OKC,27,80,36,44,21.8,6,2.2,5.6,3,1194,0.5,0.7,0.4,2,1.1,0.7,0.6,0.3,1.9,12.4,0,0,-1.2
277,Otto Porter Jr.,WAS,22,74,41,33,19.4,6,2.4,5.3,1.4,0.4718,0.8,1.1,0.9,2,0.9,0.7,0.6,0.4,1.3,13.2,0,0,-0.5
276,Tarik Black,LAL,23,63,25,38,19,6,2.5,4.3,0,0,1,1.9,2.3,3.6,0.7,0.8,0.3,0.4,2.5,15.3,5,0,-1.3
275,Tony Snell,CHI,23,72,43,29,19.6,6,2.2,5.2,2.7,1.0017,0.6,0.8,0.4,2,0.9,0.7,0.4,0.2,1.2,11.4,1,0,0.7
274,Jason Thompson,SAC,28,81,29,52,24.6,6.1,2.5,5.3,0,0,1.1,1.8,1.7,4.8,1,1,0.4,0.7,3,17.8,7,0,-2.3
273,T.J. Warren,PHX,21,40,17,23,15.4,6.1,2.8,5.4,0.5,119,0.4,0.5,1,1.1,0.6,0.7,0.5,0.2,1.3,11,0,0,-2.4
272,Ish Smith,PHI,26,55,24,31,15.1,6.1,2.6,6.7,1.1,0.33,0.6,1,0.3,1.5,3.3,1.4,0.7,0.1,0.9,14.1,0,0,-1.9
271,Chris Copeland,IND,31,50,19,31,16.5,6.2,2.2,6.2,3.3,1.0263,0.7,0.9,0.5,1.8,1,1.2,0.2,0.2,1.6,10.5,1,0,-0.6
270,Shane Larkin,NYK,22,76,16,60,24.5,6.2,2.5,5.7,1.5,453,0.8,1,0.4,1.9,3,1.1,1.2,0.1,2,16.4,1,0,-5.2
269,Ben Gordon,ORL,32,56,17,39,14.1,6.2,2.3,5.3,1.7,0.6137,1,1.2,0.1,1,0.9,1,0.3,0,1.1,8.7,0,0,-2.4
268,Alex Len,PHX,22,69,35,34,22,6.3,2.6,5.1,0,0,1.1,1.5,2.1,4.5,0.5,1.1,0.5,1.5,3.1,19.8,10,0,-0.4
267,Danny Granger,PHX,32,30,11,19,20.4,6.3,2.2,5.4,2.8,0.9996,0.9,1.2,0.7,2,0.6,0.8,0.4,0.2,2.2,11.4,0,0,-3.5
266,Jeremy Lamb,OKC,23,47,27,20,13.5,6.3,2.2,5.3,2.4,0.8208,1,1.2,0.2,2.1,0.9,0.6,0.4,0.1,1.1,11.6,1,0,-1.5
264,Mitch McGary,OKC,23,32,20,12,15.2,6.3,2.8,5.2,0.1,0,0.8,1.3,1.7,3.5,0.4,1,0.5,0.5,2.3,15.2,3,0,1.5
264,Ramon Sessions,WAS,29,64,26,38,18.6,6.3,2,5.2,0.9,0.2853,2.1,2.7,0.4,1.9,2.8,1.3,0.5,0,1.1,13.3,0,0,-2.5
263,Charlie Villanueva,DAL,30,64,37,27,10.6,6.3,2.3,5.7,3.5,1316,0.3,0.5,0.5,1.9,0.3,0.4,0.2,0.3,1,10.8,0,0,-0.8
262,Andrew Bogut,GSW,30,67,58,9,23.6,6.3,3,5.3,0,0,0.3,0.6,2.1,6,2.7,1.6,0.6,1.7,2.8,25.3,6,0,8
261,Jerami Grant,PHI,21,65,18,47,21.2,6.3,1.9,5.4,2.4,0.7536,1.8,3,0.8,2.3,1.2,1.3,0.6,1,2.2,15.5,0,0,-2.7
260,Anthony Tolliver,DET,30,76,36,40,18.9,6.3,2.1,5.2,3.8,1.3908,0.7,0.9,0.7,2.4,0.8,0.7,0.3,0.2,1.8,12.1,1,0,1.4
259,Ryan Kelly,LAL,24,52,11,41,23.7,6.4,2,5.9,2.6,0.8736,1.5,1.8,0.3,2.6,1.8,0.7,0.6,0.5,2.3,14.8,0,0,-2.8
258,Alexis Ajinca,NOP,27,68,41,27,14.1,6.5,2.7,4.8,0,0,1.2,1.5,1.5,3.1,0.7,1,0.3,0.8,2.2,15.3,5,0,-0.2
257,Kevin Seraphin,WAS,25,79,45,34,15.6,6.6,2.9,5.7,0,0,0.7,1,1.1,2.5,0.7,1.2,0.1,0.7,2.5,13.5,1,0,-2
256,Aron Baynes,SAS,28,70,49,21,16,6.6,2.6,4.7,0.1,25,1.3,1.5,1.6,3,0.5,0.9,0.2,0.3,2.3,13.5,5,0,1.9
255,Darrell Arthur,DEN,27,58,22,36,17,6.6,2.7,6.6,1.9,0.4484,0.8,1,0.9,2,1,0.8,0.8,0.4,2.5,14.6,2,0,-0.2
254,Adreian Payne,MIN,24,32,7,25,23.1,6.7,2.8,6.9,0.3,0.0333,0.9,1.4,1.5,3.6,0.9,1.4,0.6,0.3,2.8,15.4,3,0,-7.6
253,Brian Roberts,CHA,29,72,30,42,18.5,6.7,2.4,6.3,2.7,0.8667,0.9,1,0.2,1.3,2.3,0.8,0.5,0.1,1,12.7,0,0,-1.2
252,Cory Joseph,SAS,23,79,53,26,18.3,6.8,2.6,5.2,0.6,0.2184,1.3,1.8,0.6,1.9,2.4,0.8,0.6,0.2,1.3,14.8,0,0,2.2
251,Chase Budinger,MIN,27,67,8,59,19.2,6.8,2.5,5.8,2.1,0.7644,1,1.2,0.5,2.5,1,0.7,0.7,0.1,1.1,13.5,0,0,-3.9
250,CJ McCollum,POR,23,62,37,25,15.7,6.8,2.6,5.9,2.2,0.8712,0.8,1.2,0.2,1.2,1,0.8,0.7,0.1,1.3,11.8,0,0,1.9
249,Will Barton,DEN,24,58,30,28,17,6.8,2.6,6.1,1.5,0.4065,1.3,1.6,0.4,2.3,1.4,1.1,0.8,0.3,1.2,14.7,2,0,-0.5
248,Jusuf Nurkic,DEN,20,62,21,41,17.8,6.9,2.8,6.2,0,0,1.4,2.1,2,4.1,0.8,1.4,0.8,1.1,3.3,19.9,4,0,-0.1
247,Kevin Garnett,MIN,39,47,20,27,20.3,6.9,3,6.5,0.1,0.0143,0.8,1,1,5.6,1.6,1,1,0.4,2.3,20.3,3,0,-0.5
246,Patty Mills,SAS,26,51,37,14,15.7,6.9,2.5,6.6,3.6,1.2276,0.6,0.8,0.4,1.1,1.7,0.7,0.5,0,1.1,12.3,0,0,3
245,Austin Rivers,LAC,22,76,46,30,20.6,7,2.7,6.5,1.7,0.5066,1.1,1.7,0.4,1.6,2,0.9,0.6,0.2,1.9,14,0,0,-1.7
244,John Henson,MIL,24,67,35,32,18.3,7,2.9,5.2,0,0,1.2,2,1.9,2.8,0.9,1.3,0.4,2,2.3,19.9,2,0,-1.1
243,Jason Terry,HOU,37,77,53,24,21.3,7,2.4,5.8,4.2,1638,0.5,0.6,0.2,1.4,1.9,1,0.9,0.2,1.5,14.1,0,0,1.8
242,Leandro Barbosa,GSW,32,66,54,12,14.9,7.1,2.8,5.8,1.7,0.6528,0.9,1.1,0.3,1,1.5,0.7,0.6,0.1,1.3,12.5,0,0,-0.1
241,Lance Thomas,NYK,27,62,20,42,24,7.1,2.9,7.1,0.4,0.1272,1.2,1.6,1,2.1,1.1,1.2,0.6,0.1,1.6,13.6,0,0,-5.5
240,Quincy Pondexter,NOP,27,75,48,27,23.9,7.2,2.5,6,3.3,1.2309,0.9,1.3,0.7,1.9,1.3,0.7,0.3,0.3,2,13.2,0,0,0.1
239,Trevor Booker,UTA,27,79,37,42,19.8,7.2,2.9,5.9,1.1,0.3795,1.1,1.9,1.8,3.3,1.1,1.1,0.5,0.5,1.8,16.9,3,0,0.4
238,Carl Landry,SAC,31,70,26,44,17,7.2,2.7,5.3,0,0,1.8,2.1,1.4,2.4,0.4,0.8,0.2,0.2,1.9,12.9,3,0,-3.1
237,Jared Dudley,MIL,29,72,39,33,23.8,7.2,2.8,5.9,2.7,1.0395,0.7,0.9,0.6,2.4,1.8,0.9,1,0.2,1.6,16.2,0,0,1.5
236,Joakim Noah,CHI,30,67,39,28,30.6,7.2,2.8,6.4,0,0,1.6,2.6,3.3,6.4,4.7,1.8,0.7,1.1,3,29.4,15,0,1.2
235,Brandan Wright,PHX,27,75,37,38,19.3,7.3,3.1,4.8,0,0,1,1.5,1.7,2.6,0.5,0.5,0.7,1.3,1.4,18.5,3,0,-0.2
234,Larry Sanders,MIL,26,27,12,15,21.7,7.3,3.2,6.4,0,0,0.9,1.8,2.5,3.7,0.9,1,1,1.4,3.9,22.1,0,0,-3.3
233,Henry Walker,MIA,27,24,12,12,26.1,7.3,2.4,7,5.5,1.8755,0.6,0.8,0.3,3.1,1.2,1,1,0.4,3.2,16.3,0,0,0
232,Channing Frye,ORL,32,75,23,52,24.9,7.3,2.5,6.5,4.6,1.8078,0.4,0.5,0.4,3.5,1.3,1,0.6,0.5,2.5,16.3,2,0,-3.3
231,Omer Asik,NOP,28,76,43,33,26.1,7.3,2.8,5.4,0,0,1.7,3,3.2,6.6,0.9,1.3,0.4,0.7,1.9,22.6,13,0,0.3
230,Alan Anderson,BKN,32,74,35,39,23.6,7.4,2.6,5.9,2.8,0.9744,1.1,1.4,0.4,2.3,1.1,0.8,0.8,0.1,2,14,0,0,-0.8
229,Donald Sloan,IND,27,53,22,31,20.9,7.4,2.7,6.7,2.5,0.7825,1.1,1.5,0.2,2.5,3.6,1.2,0.4,0,0.9,16.1,1,0,-1.6
228,Ray McCallum,SAC,24,68,22,46,21.1,7.4,3,6.9,1.6,0.4896,0.8,1.2,0.8,1.9,2.8,1.3,0.7,0.2,1.4,15.9,0,0,-3.5
227,Marvin Williams,CHA,29,78,32,46,26.1,7.4,2.7,6.3,3.4,1.2172,0.8,1.1,0.7,4.2,1.3,0.8,0.9,0.5,1.9,18.5,1,0,-2
226,Tayshaun Prince,DET,35,58,27,31,24.1,7.5,3.1,6.9,1.2,0.5556,0.8,1.1,0.9,2.7,1.6,0.6,0.5,0.3,0.9,16,0,0,-2.3
225,J.J. Barea,DAL,31,77,49,28,17.7,7.5,2.9,7,2.2,0.7106,1,1.2,0.3,1.4,3.4,0.9,0.4,0,1.4,15.2,0,0,1.6
224,JJ Hickson,DEN,26,73,26,47,19.3,7.6,3,6.3,0,0,1.6,2.8,2.1,4.1,0.8,1.3,0.5,0.5,1.9,17.8,9,0,-3.2
223,Cody Zeller,CHA,22,62,27,35,24,7.6,2.8,6,0,0,2,2.6,1.6,4.3,1.6,1,0.5,0.8,2.5,20.1,2,0,0.3
222,Norris Cole,NOP,26,75,37,38,24.4,7.6,3.1,7.4,2.3,0.7199,0.8,1.1,0.2,1.9,3.4,1.3,0.8,0.2,1.7,16.8,0,0,-2.5
221,Beno Udrih,MEM,32,79,55,24,18.9,7.7,3.1,6.4,1.2,0.3216,1.1,1.3,0.3,1.6,2.8,1.1,0.6,0.1,1.1,14.9,0,0,-0.1
220,Jae Crowder,BOS,24,82,47,35,20.1,7.7,2.8,6.6,2.5,0.7325,1.3,1.7,0.9,2.7,1.1,0.6,0.9,0.3,1.7,16.6,0,0,0.9
219,Steven Adams,OKC,21,70,37,33,25.3,7.7,3.1,5.7,0,0,1.5,2.9,2.8,4.6,0.9,1.4,0.5,1.2,3.2,22,10,0,0.7
218,Rasual Butler,WAS,36,75,39,36,20.1,7.7,2.9,6.9,3.1,1.1997,0.7,0.9,0.4,2.3,0.8,0.6,0.4,0.3,1.3,13.5,0,0,-0.7
217,Jerryd Bayless,MIL,26,77,39,38,22.3,7.8,2.9,6.7,1.6,0.4928,1.6,1.8,0.3,2.5,3,1.7,0.8,0.2,2.1,16.6,0,0,-0.2
216,Mike Scott,ATL,26,68,52,16,16.5,7.8,3,6.7,2.8,0.9632,0.9,1.1,0.7,2.3,1.1,0.6,0.4,0,1.2,13.6,0,0,0.3
215,Marcus Smart,BOS,21,67,35,32,27,7.8,2.6,7.1,4.1,1.3735,1.2,1.9,0.9,2.4,3.1,1.3,1.5,0.3,2.6,20.3,0,0,0.8
214,Andre Iguodala,GSW,31,77,64,13,26.9,7.8,3,6.4,2.8,0.9772,0.9,1.5,0.6,2.8,3,1.1,1.2,0.3,1.3,19.6,0,0,5.7
213,KJ McDaniels,HOU,22,62,19,43,21.8,7.9,2.8,7,2.4,0.6888,1.6,2.1,1,2.2,1.2,1.7,0.7,1.1,2,17.3,1,0,-4.2
212,James Johnson,TOR,28,70,40,30,19.6,7.9,3.4,5.8,0.7,0.1512,1,1.5,0.9,2.8,1.4,1.1,0.8,1,2.2,18.5,2,0,2.1
211,Marcus Thornton,PHX,28,48,19,29,15,7.9,2.9,7.2,3,1134,1,1.2,0.5,1.3,0.8,0.6,0.6,0.1,0.8,12.8,0,0,-0.1
210,David Lee,GSW,32,49,37,12,18.5,7.9,3.3,6.4,0,0,1.4,2.1,1.7,3.6,1.7,1,0.6,0.5,1.7,19.3,1,0,0.5
209,Kris Humphries,WAS,30,64,37,27,21,8,3.3,7,0.1,0,1.4,1.8,1.8,4.7,0.9,0.7,0.5,0.4,2,19.1,3,0,-1.4
206,Iman Shumpert,CLE,25,62,34,28,24.9,8,3.1,7.6,3.2,1.0944,0.7,1,0.9,2.7,2.2,1.5,1.3,0.3,2.2,18.8,2,0,1
206,Jason Smith,NYK,29,82,17,65,21.8,8,3.1,7.2,0.5,0.1785,1.5,1.9,1.2,2.8,1.7,1.3,0.4,0.5,2.5,16.8,3,0,-5.2
206,Patrick Patterson,TOR,26,81,49,32,26.6,8,3,6.6,3.5,1.2985,0.8,1,1.6,3.8,1.9,0.7,0.7,0.5,1.8,20.5,3,0,3.1
205,Henry Sims,PHI,25,73,14,59,19.2,8,3.3,6.9,0.3,0.0546,1.5,1.9,1.7,3.3,1.1,1.4,0.5,0.4,1.8,17,4,0,-4.5
204,Lance Stephenson,CHA,24,61,23,38,25.8,8.2,3.4,9,1.7,0.2907,1.1,1.8,0.6,3.9,3.9,2.1,0.6,0.1,2.2,19.7,2,0,-3.6
203,Tiago Splitter,SAS,30,52,34,18,19.8,8.2,3.3,5.8,0,0,1.7,2.3,1.8,3.1,1.5,1.2,0.7,0.7,2,19.3,1,0,4.4
202,Zaza Pachulia,MIL,31,73,34,39,23.7,8.3,3.3,7.2,0,0,1.7,2.2,2.7,4.2,2.4,1.8,1.1,0.3,2.3,22.5,15,0,3.6
201,Jameer Nelson,DEN,33,63,25,38,22.3,8.3,3.3,8,4.1,1.4145,0.4,0.6,0.5,1.8,4,1.7,0.7,0.1,2.2,17.9,0,0,-0.2
200,Ed Davis,LAL,26,79,20,59,23.3,8.3,3.6,5.9,0,0,1.2,2.4,2.9,4.7,1.2,0.7,0.6,1.2,2.6,24.1,6,0,-3.4
199,Derrick Williams,SAC,24,74,27,47,19.8,8.3,2.9,6.6,2.1,0.6594,1.8,2.6,0.6,2.2,0.7,0.8,0.5,0.1,0.9,13.4,1,0,-3.5
198,Rudy Gobert,UTA,23,82,38,44,26.3,8.4,3.1,5.2,0,0,2.1,3.3,3.2,6.2,1.3,1.4,0.8,2.3,2.1,29.6,25,0,0.1
197,Sebastian Telfair,OKC,30,16,4,12,20.4,8.4,2.9,7.8,3.8,1.14,1.5,2.1,0.1,1.8,2.8,1.1,0.6,0,1.8,15.6,0,0,-4
196,Tristan Thompson,CLE,24,82,53,29,26.8,8.5,3.3,6,0,0,1.9,3,3.3,4.7,0.5,1,0.4,0.7,2.3,21.2,14,0,2.7
195,Mirza Teletovic,BKN,29,40,16,24,22.3,8.5,3.1,8,4.8,1.5408,0.8,1.2,0.7,4.2,1.2,1.3,0.4,0.4,1.9,16.9,1,0,-0.3
194,Tony Allen,MEM,33,63,46,17,26.2,8.6,3.6,7.2,0.5,0.1725,1.3,2,1.6,2.8,1.4,1.4,2,0.5,2.6,22.1,2,0,3.9
193,Chris Kaman,POR,33,74,47,27,18.9,8.6,3.8,7.4,0,0,1,1.4,2,4.5,0.9,1.5,0.2,0.7,1.9,19.2,4,0,-0.1
192,Rodney Hood,UTA,22,50,27,23,21.3,8.7,3.1,7.5,3.4,1241,1.2,1.6,0.2,2.2,1.7,0.9,0.6,0.2,2.4,15.6,0,0,1.2
191,Dwight Buycks,LAL,26,6,1,5,20.5,8.7,3,6.7,1.8,1.1448,1.5,1.7,0.3,1.7,2.3,2,0.5,0,0.5,14.1,0,0,-4
190,Randy Foye,DEN,31,50,15,35,21.7,8.7,3,8,5.3,1.8921,0.9,1.1,0.2,1.5,2.4,1.2,0.7,0.2,1.9,15.8,0,0,-2.1
189,Boris Diaw,SAS,33,81,55,26,24.5,8.7,3.6,7.8,2.1,672,0.9,1.1,1,3.3,2.9,1.6,0.4,0.3,1.8,18.8,1,0,3.6
188,Mason Plumlee,BKN,25,82,38,44,21.3,8.7,3.4,6,0,0,1.9,3.9,2.1,4.1,0.9,1.3,0.8,0.8,2.5,21,12,0,-2.2
187,Devin Harris,DAL,32,76,45,31,22.2,8.8,2.9,6.9,3.5,1.2495,1.7,2.1,0.2,1.6,3.1,1.1,1,0.2,1.9,18.1,0,0,1.3
186,Hollis Thompson,PHI,24,71,13,58,25,8.8,3.2,7.6,4,1604,0.9,1.3,0.7,2,1.2,0.9,0.8,0.4,2,16.5,0,0,-4.8
184,Michael Beasley,MIA,26,24,11,13,21,8.8,3.8,8.8,1.4,329,0.8,1.1,0.5,3.2,1.3,1.5,0.6,0.5,2.8,17.2,1,0,0.1
184,Paul George,IND,25,6,5,1,15.2,8.8,3,8.2,3.7,1.5133,1.3,1.8,0.7,3,1,2,0.8,0.2,1.8,15.7,0,0,2.5
183,Omri Casspi,SAC,27,67,23,44,21.1,8.9,3.1,6.4,1.3,0.5226,2.1,2.9,0.8,3.1,1.5,1.3,0.5,0.1,1.6,16.3,1,0,-2.7
182,Solomon Hill,IND,24,82,38,44,29,8.9,3.1,7.7,2.5,0.8175,1.9,2.4,0.9,3,2.2,1.4,0.8,0.2,2.2,18.5,1,0,-2.2
181,Elfrid Payton,ORL,21,82,25,57,30.3,8.9,3.7,8.6,0.5,131,1.4,2.6,1.3,3,6.5,2.5,1.7,0.2,2.4,27.2,12,2,-2.5
180,Rajon Rondo,DAL,29,68,34,34,29.7,8.9,4,9.5,1.3,0.4082,0.5,1.1,1.1,4.4,7.9,3.1,1.3,0.1,2.3,28.6,15,3,-0.9
179,Bojan Bogdanovic,BKN,26,78,36,42,23.8,9,3.3,7.4,3.3,1.1715,1.1,1.4,0.6,2.1,0.9,1,0.4,0.1,1.3,14.2,0,0,-2.3
178,Jason Richardson,PHI,34,19,4,15,21.9,9.1,3.3,9.4,5.1,1.6473,0.9,1.2,0.7,2.8,2,0.8,0.7,0.2,1.5,17.9,0,0,-3.7
177,Jose Calderon,NYK,33,42,7,35,30.2,9.1,3.5,8.4,3.4,1411,0.7,0.8,0.5,2.5,4.7,1.8,0.7,0,1.8,20.1,2,0,-8.1
176,PJ Tucker,PHX,30,78,36,42,30.6,9.1,3.3,7.6,3.2,1104,1.3,1.8,1.5,5,1.6,1.2,1.4,0.3,2.3,23,4,0,-0.6
175,Marco Belinelli,SAS,29,62,41,21,22.4,9.2,3.2,7.6,3.7,1.3838,1.4,1.6,0.4,2.1,1.5,1,0.5,0,1.4,15.1,0,0,0
174,Isaiah Canaan,PHI,24,47,24,23,20,9.2,3.1,8,5.2,1924,1,1.3,0.4,1.5,2.1,1.3,0.6,0.1,1.8,15.3,0,0,-1.3
173,Amir Johnson,TOR,28,75,44,31,26.4,9.3,4,6.9,0.6,0.2478,1.1,1.7,2.1,4,1.6,1.5,0.6,0.8,3,21.5,6,0,0.8
172,Nicolas Batum,POR,26,71,43,28,33.5,9.4,3.4,8.5,4.4,1.4256,1.2,1.4,0.9,5,4.8,1.9,1.1,0.6,1.5,26.7,5,0,3
171,Luis Scola,IND,35,81,37,44,20.5,9.4,3.7,7.9,0.2,0.05,2,2.8,1.7,4.8,1.3,1.2,0.6,0.2,2.4,20.4,9,0,0.4
170,Mike Dunleavy,CHI,34,63,41,22,29.2,9.4,3.3,7.6,4.2,1.7094,1.1,1.4,0.4,3.5,1.8,1,0.6,0.3,2,18.8,0,0,3.3
169,Greivis Vasquez,TOR,28,82,49,33,24.3,9.5,3.6,8.8,4.3,1.6297,0.6,0.8,0.3,2.4,3.7,1.5,0.6,0.1,2.2,18.7,0,0,0.9
168,D.J. Augustin,OKC,27,82,37,45,23.9,9.5,3.1,7.9,3,1011,2.2,2.5,0.2,1.7,4.3,1.8,0.6,0,1.1,18.4,4,0,-0.9
167,Evan Turner,BOS,26,82,40,42,27.6,9.5,3.9,9.1,1.5,0.4155,1.3,1.7,0.5,4.6,5.5,2.4,1,0.2,2.2,25.1,7,3,-1.2
166,Robin Lopez,POR,27,59,38,21,27.8,9.6,4,7.4,0,0,1.7,2.2,3.2,3.5,0.9,1.2,0.3,1.4,2.1,22.9,6,0,2.5
165,Timofey Mozgov,CLE,28,81,49,32,25.3,9.7,3.9,7,0.1,0.0333,1.9,2.7,2.5,4.8,0.7,1.4,0.4,1.2,2.8,22.8,18,0,3.2
164,Gorgui Dieng,MIN,25,73,16,57,30,9.7,3.5,7,0.1,0.0167,2.6,3.3,3.1,5.3,2,1.7,1,1.7,2.6,29.1,18,0,-5.2
163,Anderson Varejao,CLE,32,26,16,10,24.4,9.8,4.3,7.7,0.1,0,1.3,1.7,2.2,4.3,1.3,1.3,0.7,0.6,2.2,22.4,2,0,0.2
162,Terrence Ross,TOR,24,82,49,33,25.5,9.8,3.8,9.2,4.8,1.7856,0.5,0.7,0.4,2.4,1,0.8,0.6,0.3,1.7,16.7,0,0,0.5
161,Luc Mbah a Moute,PHI,28,67,16,51,28.6,9.9,3.7,9.5,3,921,1.4,2.4,1.2,3.7,1.6,1.5,1.2,0.3,1.6,21.2,4,0,-5.4
160,Wesley Johnson,LAL,27,76,20,56,29.5,9.9,3.8,9.1,3.4,1.1934,1.2,1.5,0.9,3.3,1.6,1.1,0.8,0.6,2.1,20.4,3,0,-4.1
159,Nerlens Noel,PHI,21,75,18,57,30.8,9.9,4,8.7,0,0,1.9,3.1,2.5,5.7,1.7,1.9,1.8,1.9,2.8,31.3,18,0,-5.8
158,Dennis Schroder,ATL,21,77,57,20,19.7,10,3.7,8.6,1.9,0.6669,1.9,2.3,0.4,1.8,4.1,1.9,0.6,0.1,1.6,18.8,5,0,0.1
156,C.J. Watson,IND,31,57,25,32,24.9,10,3.2,7.3,3.1,1.24,2.4,2.9,0.3,2.5,3.6,1.8,1,0.2,1.9,20.6,0,0,0.1
156,Wayne Ellington,LAL,27,65,18,47,25.8,10,3.9,9.5,3.7,1369,0.8,1,0.5,2.8,1.6,0.8,0.5,0,1.2,17.1,1,0,-1.9
155,Matt Barnes,LAC,35,76,51,25,29.9,10.1,3.6,8.2,4.9,1.7738,1,1.3,0.7,3.3,1.5,1.1,0.9,0.7,3.2,20.5,1,0,6.9
154,Gary Neal,MIN,30,54,24,30,22.1,10.1,3.5,9.3,3,915,2.2,2.5,0.3,2.1,1.9,1.2,0.4,0,1.6,15.8,0,0,-1.9
153,Harrison Barnes,GSW,23,82,67,15,28.3,10.1,3.9,8,2.6,1053,1.3,1.8,1.4,4.1,1.4,0.9,0.7,0.2,1.8,20.9,6,0,6.5
152,Courtney Lee,MEM,29,77,51,26,30.6,10.1,3.7,8.4,2.9,1.1658,1.4,1.7,0.3,2,2,1,1,0.2,1.7,18.2,0,0,1.6
151,Zach LaVine,MIN,20,77,15,62,24.7,10.1,3.7,8.8,2.2,0.7502,1.9,2.3,0.4,2.4,3.6,2.5,0.7,0.1,2.1,18.8,4,0,-7
150,Patrick Beverley,HOU,26,56,35,21,30.8,10.1,3.6,9.5,5.8,2.0648,0.8,1.1,1.2,3,3.4,1.5,1.1,0.4,3.3,23.3,2,0,1.3
148,Nikola Mirotic,CHI,24,82,50,32,20.2,10.2,3.1,7.6,3.8,1.2008,2.8,3.5,0.8,4.2,1.2,1.1,0.7,0.7,2.1,20.7,8,0,2.1
148,Tyler Zeller,BOS,25,82,40,42,21.1,10.2,4.1,7.5,0,0,1.9,2.3,1.8,3.9,1.4,0.9,0.2,0.6,2.5,20.7,3,0,-1.5
147,Mario Chalmers,MIA,29,80,36,44,29.6,10.2,3.3,8.3,3.1,0.9114,2.6,3.3,0.3,2.3,3.8,2.2,1.5,0.1,3.1,21.8,4,0,-1.8
146,Kelly Olynyk,BOS,24,64,31,33,22.2,10.3,3.9,8.3,2.7,0.9423,1.5,2.1,1.4,3.3,1.7,1.5,1,0.6,3.3,21.8,3,0,3.6
145,Ricky Rubio,MIN,24,22,7,15,31.5,10.3,3.5,10,2.3,0.5865,2.6,3.2,0.9,4.8,8.8,2.9,1.7,0,2.7,32.7,7,1,-0.5
144,Tyson Chandler,DAL,32,75,47,28,30.5,10.3,3.9,5.9,0,0,2.5,3.4,3.9,7.6,1.1,1.4,0.6,1.2,2.3,29.7,31,0,3.1
