,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPA,TPM,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
397,Jason Maxiell,CHA,32,61,22,39,14.4,3.3,1.3,3.1,0,0,0.7,1.2,1.4,1.9,0.3,0.5,0.3,0.7,1.6,10.4,0,0,-2.5
396,James Young,BOS,19,31,14,17,10.7,3.4,1.2,3.3,2.1,0.5418,0.5,0.9,0.3,1.1,0.4,0.2,0.3,0.1,0.7,6.4,0,0,0.2
395,Erick Green,DEN,24,43,15,28,9.5,3.4,1.4,3.8,1.1,0.3278,0.2,0.3,0.2,0.6,0.9,0.3,0.3,0,0.6,6.1,0,0,-1.9
394,Andre Roberson,OKC,23,67,41,26,19.2,3.4,1.4,3,1.3,0.3211,0.3,0.7,0.9,2.9,1,0.7,0.8,0.4,2.1,12.5,1,0,1.6
393,Gary Harris,DEN,20,55,18,37,13.1,3.4,1.2,3.9,1.9,0.3876,0.6,0.9,0.4,0.8,0.5,0.7,0.7,0.1,1.3,7.4,0,0,-3.1
392,Maurice Harkless,ORL,22,45,9,36,15,3.5,1.4,3.5,1.2,0.2148,0.5,0.9,0.8,1.5,0.6,0.6,0.7,0.2,1.5,9.3,0,0,-2
391,Joel Freeland,POR,28,48,34,14,12.8,3.5,1.5,3.1,0,0,0.4,0.5,1.3,2.7,0.3,0.5,0.2,0.5,1.9,10.3,1,0,1.3
390,Jeff Adrien,HOU,29,17,1,16,12.7,3.5,1.1,2.6,0,0,1.3,2.2,1.4,3.2,0.9,0.5,0.2,0.5,1.8,12.1,0,0,-0.8
389,Phil Pressey,BOS,24,50,22,28,12,3.5,1.3,3.5,1.3,0.3198,0.7,1,0.3,1.3,2.3,0.8,0.6,0.1,1.1,10.3,1,0,0
388,Jimmer Fredette,NOP,26,50,27,23,10.2,3.6,1.3,3.3,1,188,0.9,0.9,0.2,0.6,1.2,0.7,0.3,0,0.9,6.6,0,0,0.8
387,Lester Hudson,LAC,30,5,5,0,11.1,3.6,1.2,2.8,1.2,0.6,0.6,0.8,0.2,1.4,1,0.6,1.2,0.2,0.8,10.6,0,0,-1.2
386,Kendrick Perkins,CLE,30,68,38,30,16.9,3.6,1.5,3.3,0,0,0.6,1.2,1.3,3.4,0.8,1.4,0.2,0.6,2.4,11.6,0,0,0.3
385,Tyler Hansbrough,TOR,29,74,45,29,14.3,3.6,1.2,2.2,0.1,0.0143,1.3,1.9,1.4,2.1,0.3,0.3,0.4,0.2,1.9,9.9,2,0,2.6
384,Cory Jefferson,BKN,24,50,18,32,10.6,3.7,1.5,3.3,0.3,0.0399,0.6,1.1,0.9,2,0.3,0.4,0.2,0.4,1.2,9.1,1,0,1.5
383,Dewayne Dedmon,ORL,25,59,17,42,14.3,3.7,1.5,2.7,0,0,0.6,1.1,2,3,0.2,0.9,0.3,0.8,2.4,12.4,2,0,-0.4
381,Matt Bonner,SAS,35,72,49,23,13,3.7,1.3,3.2,1.8,657,0.4,0.5,0.4,1.2,0.7,0.2,0.1,0.2,0.9,7.3,0,0,0.5
381,Tyler Ennis,MIL,20,33,11,22,12.5,3.7,1.6,4.4,1.3,0.3627,0.2,0.2,0.2,0.8,2.2,1.3,0.5,0.2,1.1,9.1,0,0,-1.8
380,Raymond Felton,DAL,31,29,14,15,9.7,3.7,1.5,3.7,1.2,0.3528,0.4,0.5,0.1,0.8,1.4,0.6,0.4,0.1,0.6,7.9,0,0,-0.7
379,Hedo Turkoglu,LAC,36,62,42,20,11.4,3.7,1.3,3,2.2,0.9504,0.1,0.2,0.1,1.5,0.6,0.5,0.3,0.1,1.1,7.3,0,0,0.2
377,Reggie Evans,SAC,35,47,16,31,16.3,3.7,1.2,2.9,0,0,1.3,2.1,2.1,4.3,0.7,1,0.5,0.1,1.9,13.2,2,0,-1
377,Troy Daniels,CHA,23,47,15,32,8.5,3.7,1.3,3.5,2.5,0.91,0.2,0.3,0.2,0.5,0.5,0.4,0.1,0,0.9,5.3,0,0,-1.8
376,Austin Daye,ATL,27,34,17,17,10.1,3.8,1.5,4.1,2.1,0.7098,0.1,0.2,0.3,1.9,0.5,0.7,0.4,0.1,1.1,8,2,0,-1.3
375,Larry Drew II,PHI,25,12,4,8,18.3,3.8,1.7,4.8,2.2,0.3388,0.2,0.3,0.1,1.2,3.8,2.1,0.5,0,1.1,10.4,0,0,-6.1
374,Joffrey Lauvergne,DEN,23,24,9,15,11.2,3.9,1.5,3.7,0.7,0.1316,0.8,1.2,1.1,2.1,0.5,0.9,0.3,0.4,1.8,9.9,0,0,-4.7
373,Travis Wear,NYK,24,51,7,44,13.2,3.9,1.6,4.1,0.6,0.2202,0.4,0.5,0.6,1.5,0.8,0.7,0.3,0.2,1.1,8.4,0,0,-1.6
