,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
474,JJ O'Brien,UTA,24,2,2,0,3.1,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,2.1,0,0,-4
474,Nate Robinson,NOP,32,2,0,2,11.6,0,0,0.5,0,0.5,0,0,0,0,0,2,0,0.5,0,2.5,4.5,0,0,-10
474,Sam Dekker,HOU,22,3,1,2,2,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,1.4,0,0,-0.7
473,Bruno Caboclo,TOR,20,6,6,0,7.1,0.5,0.2,2,0.2,1.2,0,0,0.2,0.2,0.3,0.2,0.7,0.3,0.2,0.3,2,0,0,-1.3
472,Joe Harris,CLE,24,5,5,0,3,0.6,0.2,0.8,0.2,0.8,0,0,0,0.6,0.6,0.4,0.2,0,0,0.2,1.7,0,0,-4.2
471,Branden Dawson,LAC,23,6,5,1,4.8,0.8,0.3,0.8,0,0,0.2,0.2,0.3,0.3,0.7,0,0,0,0.2,0.3,2.1,0,0,-2.5
470,Aaron Harrison,CHA,21,21,15,6,4.4,0.9,0.2,0.9,0.1,0.5,0.2,0.6,0.2,0.5,0.7,0.1,0.2,0.3,0,0.5,2.5,0,0,-0.3
469,Sasha Kaun,CLE,31,25,18,7,3.8,0.9,0.4,0.7,0,0,0.2,0.4,0.5,0.6,1,0.1,0.3,0.2,0.2,0.4,3.1,0,0,-0.1
468,Joel Anthony,DET,33,19,12,7,5,0.9,0.3,0.5,0,0,0.3,0.4,0.4,0.7,1.1,0.1,0.1,0.1,0.6,0.8,4.5,0,0,-0.9
464,Bryce Cotton,MEM,23,8,1,7,4.8,1,0.5,1.3,0,0.4,0,0,0,0,0,0.4,0.6,0.4,0,0.3,2.1,0,0,-3
464,Eric Moreland,SAC,24,8,1,7,5.9,1,0.4,0.8,0,0,0.3,0.5,0.4,1,1.4,0.1,0.4,0,0.5,0.5,4,0,0,0.9
464,James Young,BOS,20,29,12,17,6.9,1,0.4,1.2,0.2,0.9,0,0.1,0.1,0.8,0.9,0.3,0.2,0.2,0,0.6,3.1,0,0,-0.9
464,Jarnell Stokes,MEM,22,7,1,6,2.7,1,0.4,0.7,0,0,0.1,0.3,0.1,0.4,0.6,0.1,0,0.1,0,0.1,2.3,0,0,1.3
463,Pat Connaughton,POR,23,34,17,17,4.2,1.1,0.4,1.4,0.1,0.6,0.1,0.1,0.3,0.6,0.9,0.3,0.3,0.1,0,0.2,2.5,0,0,-0.4
462,Luis Montero,POR,23,12,6,6,3.5,1.2,0.4,1.6,0.1,0.8,0.3,0.3,0,0.3,0.3,0.1,0.3,0,0,0.1,1.4,0,0,-3.3
461,Keith Appling,ORL,24,5,0,5,5.4,1.2,0.4,1.6,0,0.6,0.4,0.4,0,0.2,0.2,0.2,0.6,0.2,0,1,1.7,0,0,2.8
460,Cliff Alexander,POR,20,8,3,5,4.5,1.3,0.6,1.3,0,0,0,0,0.3,0.5,0.8,0,0.1,0.1,0.3,0.1,3.2,0,0,-1.6
459,Mitch McGary,OKC,24,20,17,3,3.6,1.3,0.6,1.2,0,0.2,0.2,0.5,0.2,0.7,0.9,0.2,0.4,0.1,0.1,0.5,2.7,0,0,-2.4
458,Jordan Mickey,BOS,21,16,9,7,3.6,1.3,0.5,1.4,0,0,0.3,0.6,0.4,0.4,0.8,0.1,0.1,0,0.7,0.3,4.4,0,0,0.4
457,Mike Miller,DEN,36,47,21,26,7.9,1.3,0.5,1.3,0.4,1.1,0,0,0.1,1,1.1,0.9,0.4,0.3,0.1,1.1,4.7,0,0,-1.9
456,Erick Green,DEN,25,9,6,3,4.7,1.4,0.6,1.4,0.1,0.6,0.2,0.2,0.3,0.3,0.7,0.3,0,0.1,0,0.4,3.1,0,0,-0.1
455,Anthony Bennett,TOR,23,19,12,7,4.4,1.5,0.4,1.4,0.2,0.7,0.5,0.5,0.3,0.9,1.2,0,0.2,0.3,0,0.4,3.5,0,0,-1.6
454,Jimmer Fredette,SAS,27,6,1,5,2.9,1.5,0.3,0.8,0.2,0.3,0.7,0.8,0,0,0,0.2,0.3,0.2,0,0.3,1.9,0,0,-4.2
453,Russ Smith,MEM,25,15,6,9,4.4,1.5,0.5,1.5,0.1,0.3,0.5,0.9,0.1,0.5,0.6,0.7,0.5,0.3,0.1,0.3,4.1,0,0,-2.7
452,Shayne Whittington,IND,25,7,4,3,5.8,1.6,0.7,1.6,0,0.3,0.1,0.3,0.7,1,1.7,0.4,0.7,0.1,0.1,1,4.4,0,0,-0.9
451,Udonis Haslem,MIA,36,37,25,12,7,1.6,0.6,1.6,0,0.2,0.3,0.4,0.3,1.8,2,0.4,0.1,0.1,0.1,0.7,5,0,0,-0.4
449,Elliot Williams,CHA,27,5,4,1,9,1.6,0.4,2,0.2,0.8,0.6,0.8,0.2,0.6,0.8,0.8,0.2,0,0,0.4,3.6,0,0,-0.6
449,Nazr Mohammed,OKC,38,5,5,0,3.9,1.6,0.6,1,0,0,0.4,0.4,0.2,0.6,0.8,0,0.6,0,0,0.8,2,0,0,-0.6
448,Jeff Ayres,LAC,29,17,11,6,6.3,1.8,0.7,1.4,0,0.1,0.4,0.4,0.2,1.1,1.3,0.3,0.4,0,0.2,1.1,3.9,0,0,-2.7
447,Lou Amundson,NYK,33,29,11,18,7,1.8,0.7,1.8,0,0,0.5,0.9,0.8,0.9,1.7,0.4,0.5,0.2,0.2,1.5,5.3,0,0,-1.6
444,Damien Inglis,MIL,21,20,5,15,7.8,1.8,0.7,1.9,0.2,0.7,0.4,0.4,0.1,1.5,1.6,0.5,0.6,0.3,0.2,0.6,5.2,0,0,-2.2
444,Elijah Millsap,UTA,28,20,9,11,8.6,1.8,0.6,2,0.1,0.6,0.7,0.9,0.3,1.5,1.8,1,0.5,0.4,0.2,1.7,6.4,0,0,1.1
444,Kevon Looney,GSW,20,5,4,1,4.1,1.8,0.8,1.4,0.2,0.4,0,0,0.8,1.2,2,0,0.2,0,0,0.4,4,0,0,-4.4
443,Cleanthony Early,NYK,25,17,6,11,9,1.8,0.7,2.4,0.2,0.9,0.2,0.2,0.2,1.3,1.5,0.4,0.5,0.1,0.2,0.9,4.5,0,0,0
442,Jorge Gutierrez,CHA,27,12,9,3,5.3,1.8,0.5,0.9,0,0.2,0.8,0.9,0,0.6,0.6,1.4,0.5,0.3,0,0.3,4.9,0,0,0.7
441,Terry Rozier,BOS,22,39,24,15,8,1.8,0.7,2.7,0.2,0.7,0.2,0.3,0.6,1,1.6,0.9,0.5,0.2,0,0.6,5.3,0,0,-1.2
440,Cameron Bairstow,DET,25,18,4,14,5.7,1.9,0.7,2.2,0.1,0.3,0.4,0.4,0.2,1.3,1.6,0.3,0.2,0.1,0.2,1.1,4.9,0,0,-0.4
437,Chuck Hayes,LAC,33,2,1,1,11.9,2,0.5,1,0,0,1,1,0,4,4,1,1.5,0,0,3,6.8,0,0,-1.5
437,Coty Clarke,BOS,23,3,0,3,1.9,2,0.7,1.3,0.7,0.7,0,0,0,0.3,0.3,0,0.3,0,0,0,2.1,0,0,1.3
437,Tibor Pleiss,UTA,26,12,7,5,6.8,2,0.9,2.1,0,0.2,0.2,0.2,0.5,0.8,1.3,0.2,0.7,0.1,0.2,1.6,3.8,0,0,-1.3
436,Chris Copeland,MIL,32,24,10,14,6.5,2.1,0.7,2.1,0.4,1.5,0.3,0.3,0,0.4,0.4,0.5,0.3,0.1,0,0.7,3.3,0,0,-3.3
435,Nick Collison,OKC,35,59,39,20,11.9,2.1,0.8,1.8,0,0,0.4,0.6,1.2,1.7,2.9,0.9,0.8,0.3,0.3,1.8,7.6,0,0,0.4
434,DeJuan Blair,WAS,27,29,12,17,7.5,2.1,1,2.3,0,0,0.2,0.4,0.7,1.3,2,0.4,0.5,0.3,0.1,1.8,5.5,0,0,-1.3
433,Devyn Marble,ORL,23,28,12,16,8.9,2.1,0.8,2.5,0.3,1.1,0.4,0.9,0.2,1.1,1.4,0.4,0.3,0.5,0,0.9,5.7,0,0,-0.5
432,Lucas Nogueira,TOR,23,29,17,12,7.7,2.2,1,1.5,0,0.1,0.3,0.5,0.6,1,1.6,0.2,0.4,0.4,0.4,1,6.6,0,0,0.8
430,Damjan Rudez,MIN,30,33,9,24,8.4,2.3,0.8,1.9,0.5,1.5,0.2,0.2,0.2,0.5,0.6,0.3,0.4,0.1,0,1,3.5,0,0,-0.4
430,Edy Tavares,ATL,24,11,7,4,6.6,2.3,1,1.7,0,0,0.3,0.7,0.6,1.3,1.9,0.3,0.5,0.1,0.5,0.7,6.4,0,0,-0.9
429,Tyler Hansbrough,CHA,30,44,28,16,7.8,2.4,0.7,1.6,0,0.1,0.9,1.5,0.9,1.1,2,0.2,0.3,0.3,0.2,1.3,6.1,1,0,-0.8
428,Jeremy Evans,DAL,28,30,16,14,8.4,2.4,0.9,1.6,0.1,0.5,0.5,0.7,0.4,1.4,1.8,0.1,0.2,0.2,0.3,0.6,5.9,0,0,-1.4
427,Greg Smith,MIN,25,18,8,10,10.7,2.4,1,1.8,0,0,0.4,0.9,0.7,1.7,2.3,0.3,0.4,0.2,0.1,1.6,6.1,0,0,-4.3
