,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
210,Sergio Rodriguez,PHI,31,68,24,44,22.3,7.8,3.1,7.9,1.4,3.7,0.3,0.4,0.3,2,2.3,5.1,1.9,0.7,0.1,1.4,18.6,1,0,-2
209,Rajon Rondo,CHI,31,69,34,35,26.7,7.8,3.3,8.1,0.7,1.9,0.4,0.7,1.1,4.1,5.1,6.7,2.4,1.4,0.2,2.1,26.3,6,1,-0.9
208,Shelvin Mack,UTA,27,55,34,21,21.9,7.8,3.1,6.9,0.7,2.2,1,1.4,0.4,1.9,2.3,2.8,1.6,0.8,0.1,1.8,15.6,0,0,0.3
207,D.J. Augustin,ORL,29,78,29,49,19.7,7.9,2.5,6.6,1.2,3.5,1.7,2.1,0.2,1.3,1.5,2.7,1.2,0.4,0,1.3,13.8,0,0,-5.7
206,Langston Galloway,SAC,25,74,29,45,20.2,7.9,2.8,7.4,1.6,4.2,0.7,0.9,0.4,1.7,2.1,1.3,0.6,0.6,0.1,1.3,13.8,0,0,-0.8
205,Alex Len,PHX,24,77,21,56,20.3,8,3,6,0,0.2,1.9,2.7,2,4.6,6.6,0.6,1.3,0.5,1.3,3.1,20.7,11,0,-5.2
204,Vince Carter,MEM,40,73,36,37,24.7,8,2.6,6.7,1.5,4.1,1.2,1.6,0.5,2.6,3.1,1.8,0.7,0.8,0.5,2.2,17.8,0,0,2.2
203,Tristan Thompson,CLE,26,78,50,28,30,8.1,3.4,5.6,0,0,1.4,2.7,3.7,5.5,9.2,1,0.8,0.5,1.1,2.3,24.5,19,0,1.7
202,Al Jefferson,IND,32,66,33,33,14.1,8.1,3.6,7.1,0,0,1,1.3,1.1,3.1,4.2,0.9,0.5,0.3,0.2,1.9,15.5,1,0,-1.5
201,Ben McLemore,SAC,24,61,27,34,19.3,8.1,3,6.9,1.1,2.8,1.1,1.5,0.3,1.8,2.1,0.8,1,0.5,0.1,1.8,12.6,1,0,-2.2
200,Willie Cauley-Stein,SAC,23,75,29,46,18.9,8.1,3.4,6.4,0,0,1.3,2,1.1,3.4,4.5,1.1,0.9,0.7,0.6,2,18.1,8,0,-2.7
