,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,TPM,TPA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
530,Ben Moore,IND,23,2,1,1,4.6,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,2,1.4,0,0,-7.5
530,Chris Boucher,GSW,25,1,1,0,1.3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-2
530,Erik McCree,UTA,24,4,4,0,1.9,0,0,0.5,0,0.3,0,0,0,0.3,0.3,0,0.3,0.3,0,0,0.8,0,0,-2.3
530,Jarell Eddie,CHI,26,3,1,2,2.9,0,0,0.7,0,0.7,0,0,0,0.3,0.3,0,0,0.3,0,0,1.4,0,0,0.3
530,Josh McRoberts,DAL,31,2,2,0,2.9,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
530,Luis Montero,DET,25,2,1,1,4,0,0,0.5,0,0,0,0,0,1,1,0,1,0,0,0,0.2,0,0,-2.5
530,Mindaugas Kuzminskas,NYK,28,1,0,1,1.9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,Nicolas Brussino,ATL,25,4,0,4,2.5,0,0,0.5,0,0.5,0,0,0,0.8,0.8,0,0,0,0,0,0.9,0,0,4.3
530,Trey McKinney-Jones,IND,27,1,1,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,Tyler Lydon,DEN,22,1,1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
530,Xavier Silas,BOS,30,2,1,1,3.7,0,0,1.5,0,1,0,0,0.5,0.5,1,0,0,0.5,0,0.5,2.7,0,0,0.5
529,Nate Wolters,UTA,27,5,3,2,3.8,0.4,0.2,1.2,0,0,0,0,0.2,0.2,0.4,0.2,0,0,0,0.2,1.2,0,0,0.6
528,Charles Cooke,NOP,23,13,8,5,2.9,0.5,0.2,1.1,0.1,0.6,0.1,0.2,0,0.2,0.2,0.1,0.1,0.1,0,0,0.9,0,0,-0.7
526,London Perrantes,CLE,23,14,8,6,4.7,0.5,0.1,0.9,0,0.2,0.2,0.4,0.1,0.2,0.3,0.4,0.1,0.1,0.1,0.4,2,0,0,-1.4
526,Xavier Munford,MIL,26,6,2,4,3.5,0.5,0.2,1,0,0.3,0.2,0.3,0.2,0,0.2,0.7,0.3,0.2,0,0.7,1.9,0,0,-2
524,Cole Aldrich,MIN,29,21,14,7,2.3,0.6,0.2,0.7,0,0,0.1,0.3,0.1,0.6,0.7,0.1,0,0.1,0,0.5,2,0,0,-0.1
524,Udonis Haslem,MIA,38,14,9,5,5.1,0.6,0.2,1.1,0.1,0.6,0.1,0.1,0.2,0.5,0.7,0.4,0.1,0,0.1,0.2,2.3,0,0,-0.3
523,Vander Blue,LAL,25,5,1,4,9,0.6,0.2,1,0,0.4,0.2,0.4,0,0.2,0.2,0.6,0.6,0.2,0,0.4,1.7,0,0,3
521,Jacob Pullen,PHI,28,3,2,1,2,0.7,0.3,0.7,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0
521,Josh Smith,NOP,32,3,2,1,3.9,0.7,0.3,1.3,0,0,0,0,1,0.3,1.3,0,0,0,0,1,2.3,0,0,-3.3
520,Jacob Wiley,BKN,23,5,1,4,6.7,0.8,0.2,0.8,0.2,0.4,0.2,0.4,0.4,1.8,2.2,0.4,0,0.2,0,0.8,4.6,0,0,2.6
519,Julyan Stone,CHA,29,23,10,13,7.6,0.8,0.3,0.6,0.3,0.6,0,0.1,0,1.2,1.3,1.1,0.3,0.2,0.1,0.9,4.5,0,0,1.7
518,Tony Bradley,UTA,20,9,6,3,3.2,0.9,0.3,1.2,0,0.1,0.2,0.2,0.4,0.8,1.2,0.1,0,0,0,0.1,2.5,0,0,0.1
517,D.J. Wilson,MIL,22,22,12,10,3.2,1,0.4,0.7,0.1,0.2,0,0.1,0.1,0.4,0.5,0.1,0.2,0.1,0,0.3,2.1,0,0,-1.9
516,Jake Layman,POR,24,35,22,13,4.6,1,0.4,1.3,0.1,0.6,0.1,0.1,0.1,0.3,0.5,0.3,0.1,0.2,0.1,0.4,2.7,0,0,-0.6
510,Derrick Williams,LAL,27,2,1,1,4.3,1,0.5,2,0,1,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,-2.5
510,Georges Niang,UTA,25,9,9,0,3.5,1,0.4,1.2,0,0.4,0.1,0.2,0.3,0.7,1,0.3,0.3,0.2,0,0.1,3,0,0,-1.4
510,Matt Costello,SAS,24,4,2,2,8.1,1,0.5,1,0,0,0,0,0.3,2,2.3,0.5,0.3,0.5,0.5,1.8,7.2,0,0,3.8
510,PJ Dozier,OKC,21,2,1,1,1.6,1,0.5,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,1.1,0,0,-1.5
510,Reggie Hearn,DET,26,3,3,0,2.2,1,0.3,0.7,0.3,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.7
510,Scotty Hopson,DAL,28,1,0,1,8.4,1,0,1,0,0,1,2,0,0,0,1,1,0,0,0,1.5,0,0,-8
509,Alex Poythress,IND,24,25,10,15,4.2,1,0.4,1,0.2,0.4,0,0,0.3,0.4,0.7,0.1,0.1,0.1,0,0.6,2.4,0,0,-0.8
508,Kadeem Allen,BOS,25,18,9,9,6,1.1,0.3,1.2,0,0.6,0.4,0.5,0.2,0.4,0.6,0.7,0.5,0.2,0.1,0.8,3.1,0,0,-1.1
507,Demetrius Jackson,PHI,23,15,12,3,5.3,1.1,0.5,1.2,0.1,0.5,0.1,0.1,0.3,0.5,0.8,0.6,0.7,0.3,0.1,0.5,3.5,0,0,-2.5
506,Darrun Hilliard,SAS,25,14,8,6,6.8,1.1,0.4,1.4,0,0.4,0.4,0.5,0,0.5,0.5,0.8,0.3,0.1,0,0.5,3.1,0,0,0.9
505,Ike Anigbogu,IND,19,11,5,6,2.7,1.2,0.4,0.8,0,0,0.5,0.5,0.5,0.4,0.8,0,0.2,0.1,0.3,0.1,3.1,0,0,-1.3
503,Omer Asik,CHI,31,18,7,11,10.1,1.2,0.5,1.2,0,0,0.2,0.7,0.5,2.1,2.6,0.2,0.5,0.1,0.2,1.1,5.1,0,0,-1.8
503,Zhou Qi,HOU,22,18,14,4,6.9,1.2,0.3,1.8,0.1,1.1,0.4,0.7,0.3,0.9,1.2,0.1,0.6,0.1,0.8,0.8,5,0,0,-3.7
502,Markel Brown,HOU,26,4,4,0,7.9,1.3,0.5,1.8,0.3,1.3,0,0,0.3,1,1.3,0.5,0.5,0,0,1.5,3,0,0,-4.3
501,Tim Quarterman,HOU,23,3,2,1,4.3,1.3,0.3,1,0,0.7,0.7,0.7,0,1,1,0.3,0.7,0,0,0.3,2.4,0,0,-3.3
500,Antonius Cleveland,ATL,24,17,7,10,7.2,1.4,0.5,1.2,0.2,0.2,0.2,0.4,0.2,0.6,0.8,0.1,0.4,0.4,0.3,1.4,4.2,0,0,-2.6
499,Marcus Georges-Hunt,MIN,24,42,24,18,5.3,1.4,0.5,1.1,0.1,0.4,0.3,0.5,0.2,0.2,0.4,0.2,0.1,0.1,0,0.8,2.5,0,0,-0.8
498,Thomas Bryant,LAL,20,15,7,8,4.8,1.5,0.5,1.4,0.1,0.7,0.3,0.6,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,3.9,0,0,-0.6
492,Alfonzo McKinnie,TOR,25,14,13,1,3.8,1.5,0.6,1.1,0.2,0.6,0.1,0.2,0.1,0.4,0.5,0.1,0.2,0.1,0.1,0.6,2.4,0,0,-1
492,Andrew Bogut,LAL,33,24,7,17,9,1.5,0.7,1,0,0,0.1,0.1,1.1,2.2,3.3,0.6,0.8,0.2,0.5,1.7,7.7,0,0,-1.2
492,Jeff Withey,DAL,28,10,2,8,3.9,1.5,0.6,1.6,0.2,1,0.1,0.2,0.1,0.9,1,0,0.2,0,0.3,0.3,3.4,0,0,2.1
492,Joel Bolomboy,MIL,24,6,3,3,6.3,1.5,0.5,1,0,0.2,0.5,1,1,0.7,1.7,0,0.3,0.3,0,0.5,4.2,0,0,-2.2
492,Richard Jefferson,DEN,38,20,10,10,8.2,1.5,0.6,1.4,0.1,0.4,0.2,0.4,0.1,0.8,0.9,0.8,0.3,0.1,0.1,0.6,3.8,0,0,-2.1
492,Vincent Hunter,MEM,23,4,0,4,1.9,1.5,0.8,1.3,0,0,0,0,0.5,0.3,0.8,0,0.3,0,0.3,0,2.9,0,0,1.5
491,James Webb III,BKN,24,10,1,9,12,1.6,0.6,2.4,0.4,1.9,0,0,0.8,1.6,2.4,0.4,0.4,0.1,0,1,5,0,0,-2.6
490,Furkan Korkmaz,PHI,20,14,11,3,5.7,1.6,0.6,2,0.4,1.2,0.1,0.3,0.1,0.6,0.8,0.3,0.1,0.1,0.1,0.9,3.5,0,0,-3.1
488,Damian Jones,GSW,23,15,7,8,5.9,1.7,0.7,1.5,0,0,0.2,0.3,0.3,0.6,0.9,0.1,0.3,0.1,0.2,0.9,3.5,0,0,0
488,Matt Williams Jr.,MIA,24,3,1,2,3.8,1.7,0.7,2,0.3,1.7,0,0,0,0.3,0.3,0,0.3,0,0,0.3,1.7,0,0,5.3
487,Larry Drew II,NOP,28,10,6,4,7,1.7,0.7,2.4,0.3,0.9,0,0,0.3,0,0.3,1,0.3,0,0,0.6,3.3,0,0,-1.3
486,Joakim Noah,NYK,33,7,1,6,5.7,1.7,0.7,1.4,0,0,0.3,0.6,0.9,1.1,2,0.6,0.6,0.3,0.3,0.7,6.1,0,0,0
485,Damien Wilkins,IND,38,19,10,9,8,1.7,0.7,2.1,0.2,0.9,0.2,0.2,0.3,0.6,0.8,0.5,0.3,0.1,0.1,0.4,3.7,0,0,1.4
484,DeAndre Liggins,NOP,30,58,34,24,12.5,1.7,0.7,1.8,0.3,0.9,0,0.1,0.1,1.2,1.3,0.8,0.3,0.6,0.2,1.4,6.8,0,0,-3.6
483,Marshall Plumlee,MIL,25,8,5,3,6.5,1.8,0.1,0.4,0,0,1.5,2,0.5,1.6,2.1,0.3,0.4,0,0.1,1.3,4.7,0,0,-0.1
482,Dakari Johnson,OKC,22,31,21,10,5.2,1.8,0.7,1.3,0,0,0.4,0.6,0.5,0.6,1.1,0.3,0.1,0.2,0.3,0.9,4.7,0,0,1.1
481,Derrick Walton Jr.,MIA,23,16,8,8,9.2,1.8,0.5,1.6,0.4,1.1,0.4,0.4,0.1,0.9,1,1,0.1,0.4,0.2,0.4,6.3,0,0,-1.9
480,Kyle Singler,OKC,30,12,5,7,4.9,1.9,0.6,1.8,0.2,0.4,0.6,1.1,0.1,0.8,0.8,0.2,0.3,0.1,0,0.3,3.2,0,0,-0.1
479,Quincy Pondexter,CHI,30,23,6,17,8.5,2,0.6,2.1,0.1,1,0.6,0.7,0.3,0.8,1.2,0.4,0.5,0.3,0.1,1,4.8,0,0,-3.9
470,Daniel Hamilton,OKC,22,6,5,1,4.6,2,0.8,1.8,0.3,0.8,0,0,0,0.8,0.8,1.3,0.3,0.2,0,0.3,5.2,0,0,-2
470,Devin Robinson,WAS,23,1,0,1,13.2,2,1,3,0,0,0,0,2,3,5,0,0,1,0,2,11,0,0,10
470,Edmond Sumner,IND,22,1,0,1,2.2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,3.2,0,0,-6
470,Gordon Hayward,BOS,28,1,0,1,5.3,2,1,2,0,1,0,0,0,1,1,0,0,0,0,1,3.2,0,0,3
470,Jeremy Evans,ATL,30,1,0,1,5.4,2,1,1,0,0,0,0,1,0,1,0,1,0,0,1,2.2,0,0,-4
470,Justin Patton,MIN,21,1,0,1,3.7,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,3
470,Luol Deng,LAL,33,1,0,1,13.1,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,5.5,0,0,-7
470,Mangok Mathiang,CHA,25,4,3,1,5,2,1,1.8,0,0,0,0.3,0.8,1.8,2.5,0,0,0.3,0,1.3,5.8,0,0,0.3
470,Ryan Arcidiacono,CHI,24,24,6,18,12.7,2,0.7,1.7,0.4,1.3,0.2,0.3,0,1,1,1.5,0.5,0.5,0,0.8,6.5,0,0,-1
469,Nick Collison,OKC,37,15,9,6,5,2.1,0.9,1.3,0,0,0.3,0.9,0.5,0.9,1.3,0.3,0.5,0,0,0.5,3.6,0,0,-0.3
468,Georgios Papagiannis,POR,20,17,3,14,7.2,2.1,1.1,2.5,0,0,0,0,0.8,1.4,2.2,0.5,0.5,0.2,0.4,0.7,6.8,0,0,-0.3
467,Eric Moreland,DET,26,67,32,35,12,2.1,1,1.8,0,0,0.2,0.4,1.2,2.9,4.1,1.2,0.6,0.5,0.8,1.7,11.9,2,0,0.1
466,Bruno Caboclo,SAC,22,12,4,8,8.9,2.2,0.8,2.6,0.3,1.4,0.4,0.5,0.6,1.3,1.8,0.3,0.3,0.3,0.3,0.7,6.3,0,0,0.9
465,John Holland,CLE,29,24,17,7,7.3,2.3,0.7,2.5,0.5,1.5,0.4,0.5,0.3,0.8,1,0.2,0.3,0.3,0.1,0.4,4.6,0,0,-1.2
